facialLandmark,x,y
1,947.63,1209.09
2,955.95,1369.39
3,985.69,1504.01
4,1009.78,1638.58
5,1064.85,1788.72
6,1155.77,1906.65
7,1275.28,1983.92
8,1424.47,2008.85
9,1572.71,1990.72
10,1710.08,1925.04
11,1801.94,1823.50
12,1863.43,1661.22
13,1888.22,1500.11
14,1901.53,1337.82
15,1892.41,1154.34
16,1735.40,1110.26
17,1628.69,1050.54
18,1522.98,1053.96
19,1431.68,1115.94
20,1530.29,1108.77
21,1626.93,1106.61
22,1008.22,1157.94
23,1087.82,1090.10
24,1179.77,1083.50
25,1279.61,1135.57
26,1180.70,1136.14
27,1092.83,1144.77
28,1066.31,1202.81
29,1139.40,1147.29
30,1233.37,1188.64
31,1148.46,1220.97
32,1154.11,1181.96
33,1674.95,1161.85
34,1584.66,1118.84
35,1500.42,1171.25
36,1588.43,1191.21
37,1595.25,1154.50
38,1316.25,1191.00
39,1304.22,1326.24
40,1258.29,1427.36
41,1285.47,1471.61
42,1378.23,1504.92
43,1479.78,1456.95
44,1505.28,1426.83
45,1429.24,1315.12
46,1403.59,1185.11
47,1305.44,1457.64
48,1441.41,1450.22
49,1216.93,1661.31
50,1278.54,1613.92
51,1342.34,1590.75
52,1386.00,1593.84
53,1429.62,1584.65
54,1509.63,1598.38
55,1600.87,1636.29
56,1551.05,1690.97
57,1482.68,1716.91
58,1403.91,1727.42
59,1329.04,1726.33
60,1264.80,1708.63
61,1315.79,1684.56
62,1396.06,1687.16
63,1473.94,1677.37
64,1470.96,1614.71
65,1390.09,1623.53
66,1311.87,1627.48
67,1393.86,1653.67
68,1366.70,1415.56
69,1101.96,1175.02
70,1185.53,1168.95
71,1190.45,1205.28
72,1106.85,1211.51
73,1630.48,1140.38
74,1542.73,1144.74
75,1544.62,1180.89
76,1630.83,1177.52
