facialLandmark,x,y
1,531.65,1051.92
2,517.98,1212.78
3,524.23,1357.73
4,547.80,1503.37
5,599.46,1628.82
6,665.09,1737.28
7,767.05,1816.58
8,894.17,1852.74
9,1019.49,1833.84
10,1111.21,1763.69
11,1194.04,1682.35
12,1266.59,1580.82
13,1310.40,1433.43
14,1335.02,1285.97
15,1341.51,1116.64
16,1276.85,1029.23
17,1203.80,955.03
18,1107.19,950.91
19,1024.44,1004.98
20,1113.15,996.35
21,1196.79,994.36
22,595.67,968.84
23,677.05,913.43
24,776.13,926.33
25,857.41,992.07
26,763.22,967.62
27,678.25,951.35
28,659.97,1066.47
29,741.52,1024.01
30,825.96,1085.56
31,736.27,1104.61
32,744.07,1060.07
33,1207.42,1105.20
34,1127.75,1054.50
35,1044.12,1100.82
36,1127.76,1131.25
37,1128.55,1091.86
38,892.71,1100.37
39,868.00,1258.04
40,806.75,1326.07
41,839.17,1376.03
42,929.93,1410.10
43,1008.90,1389.49
44,1045.08,1359.01
45,989.33,1256.80
46,981.43,1103.78
47,863.81,1367.06
48,992.12,1375.37
49,723.00,1493.44
50,813.12,1476.16
51,886.74,1479.28
52,926.49,1487.37
53,964.01,1483.57
54,1032.64,1494.03
55,1105.40,1517.55
56,1045.90,1577.81
57,981.26,1605.53
58,913.31,1609.22
59,839.06,1595.84
60,772.21,1558.70
61,831.67,1549.88
62,918.28,1571.15
63,1007.35,1561.16
64,1008.98,1518.33
65,922.79,1521.78
66,835.84,1507.62
67,919.20,1545.51
68,930.82,1343.31
69,700.36,1044.55
70,783.46,1055.60
71,781.55,1094.37
72,698.31,1085.61
73,1167.59,1079.22
74,1086.41,1077.47
75,1085.85,1117.34
76,1167.92,1118.96
