facialLandmark,x,y
1,621.09,893.51
2,637.99,1033.65
3,668.38,1156.04
4,712.81,1276.59
5,775.41,1369.12
6,842.68,1444.12
7,937.94,1511.31
8,1053.71,1534.96
9,1160.69,1502.66
10,1226.85,1429.25
11,1285.48,1353.01
12,1335.29,1269.20
13,1371.74,1138.15
14,1386.13,1002.71
15,1378.81,858.18
16,1321.65,782.72
17,1241.99,745.63
18,1160.80,762.39
19,1084.84,818.82
20,1168.74,803.94
21,1244.60,788.20
22,679.86,812.16
23,755.41,776.50
24,833.63,785.16
25,914.15,826.63
26,830.42,823.53
27,755.82,815.89
28,753.50,887.61
29,818.64,852.55
30,894.13,892.78
31,821.89,916.06
32,826.80,879.56
33,1254.20,863.97
34,1181.90,836.20
35,1114.66,884.80
36,1191.43,905.63
37,1188.38,864.74
38,961.61,903.23
39,952.11,1059.99
40,904.20,1106.43
41,936.37,1147.31
42,1031.16,1186.55
43,1120.53,1138.01
44,1145.15,1100.79
45,1077.29,1043.37
46,1045.69,896.00
47,959.08,1155.86
48,1097.20,1149.57
49,860.85,1238.96
50,932.74,1212.63
51,1000.91,1208.36
52,1034.31,1211.60
53,1063.65,1203.18
54,1132.46,1200.21
55,1205.14,1216.26
56,1178.40,1302.06
57,1119.08,1356.56
58,1047.36,1374.53
59,971.57,1366.31
60,900.60,1321.15
61,961.27,1312.76
62,1041.27,1324.45
63,1112.19,1304.79
64,1105.20,1224.97
65,1036.50,1240.43
66,959.26,1234.97
67,1039.23,1277.62
68,1028.26,1134.07
69,785.35,870.20
70,856.28,873.10
71,857.56,905.04
72,786.62,902.02
73,1218.82,850.00
74,1148.07,860.13
75,1152.82,895.91
76,1222.97,885.59
