facialLandmark,x,y
1,106.00,142.00
2,106.70,174.70
3,111.50,201.50
4,115.00,213.00
5,124.30,225.70
6,136.30,237.70
7,151.00,249.00
8,172.00,253.00
9,190.00,249.00
10,204.70,239.00
11,217.70,226.00
12,229.00,210.00
13,232.50,201.50
14,239.30,178.30
15,243.00,145.00
16,235.00,128.00
17,222.00,122.00
18,208.00,125.00
19,194.00,134.00
20,209.00,131.00
21,222.00,128.00
22,120.00,125.00
23,135.00,119.00
24,151.00,122.00
25,164.00,133.00
26,149.00,129.00
27,135.00,125.00
28,131.00,143.00
29,145.00,137.00
30,158.00,146.00
31,144.00,150.00
32,143.00,143.00
33,222.00,146.00
34,209.00,140.00
35,196.00,148.00
36,209.00,152.00
37,207.00,145.00
38,169.00,146.70
39,169.00,174.00
40,160.00,185.00
41,164.00,191.00
42,177.00,198.00
43,190.00,193.00
44,195.00,186.00
45,189.00,176.00
46,189.00,147.30
47,168.00,191.00
48,187.00,193.00
49,147.00,206.00
50,160.00,205.00
51,170.00,205.00
52,176.00,206.00
53,182.00,206.00
54,190.00,207.00
55,200.00,210.00
56,192.00,216.00
57,184.00,219.00
58,173.00,220.00
59,163.00,217.00
60,155.00,213.00
61,163.00,211.00
62,174.00,213.00
63,186.00,212.00
64,186.00,211.00
65,175.00,211.00
66,163.00,209.00
67,174.50,212.00
68,179.00,188.00
69,138.00,139.00
70,151.00,140.00
71,151.00,148.00
72,138.00,148.00
73,215.00,141.00
74,202.00,142.00
75,202.00,151.00
76,215.00,150.00
