facialLandmark,x,y
1,272.00,324.00
2,282.00,380.70
3,297.50,425.50
4,305.00,445.00
5,321.70,471.70
6,342.30,496.00
7,367.00,518.00
8,405.00,525.00
9,441.00,516.00
10,465.70,493.30
11,487.00,467.70
12,505.00,439.00
13,509.00,416.50
14,515.00,364.00
15,513.00,301.00
16,494.00,274.00
17,468.00,260.00
18,439.00,267.00
19,412.00,286.00
20,442.00,279.00
21,468.00,273.00
22,271.00,299.00
23,292.00,281.00
24,320.00,282.00
25,349.00,295.00
26,319.00,295.00
27,294.00,294.00
28,297.00,325.00
29,318.00,310.00
30,344.00,321.00
31,320.00,332.00
32,320.00,319.00
33,472.00,304.00
34,447.00,295.00
35,424.00,312.00
36,450.00,317.00
37,448.00,304.00
38,369.00,318.00
39,369.00,361.00
40,355.00,386.00
41,366.00,400.00
42,393.00,406.00
43,419.00,394.00
44,428.00,379.00
45,407.00,357.00
46,407.00,315.00
47,371.00,396.00
48,411.00,391.00
49,348.00,443.00
50,367.00,434.00
51,384.00,429.00
52,396.00,430.00
53,407.00,427.00
54,427.00,428.00
55,450.00,431.00
56,437.00,449.00
57,420.00,459.00
58,400.00,465.00
59,380.00,464.00
60,363.00,457.00
61,375.00,448.00
62,398.00,450.00
63,421.00,443.00
64,420.00,437.00
65,397.00,441.00
66,375.00,442.00
67,397.50,445.50
68,389.00,384.00
69,307.00,314.00
70,331.00,313.00
71,333.00,329.00
72,309.00,330.00
73,460.00,297.00
74,436.00,300.00
75,437.00,316.00
76,461.00,313.00
