facialLandmark,x,y
1,83.00,198.00
2,83.00,237.00
3,88.00,269.50
4,91.00,284.00
5,102.30,310.00
6,117.00,333.00
7,135.00,353.00
8,162.00,360.00
9,193.00,357.00
10,219.70,339.00
11,242.30,317.00
12,261.00,291.00
13,264.50,274.00
14,269.30,237.00
15,270.00,198.00
16,245.00,185.00
17,225.00,170.00
18,202.00,170.00
19,181.00,182.00
20,202.00,181.00
21,224.00,181.00
22,89.00,186.00
23,106.00,172.00
24,126.00,172.00
25,145.00,184.00
26,125.00,183.00
27,107.00,183.00
28,106.00,199.00
29,123.00,191.00
30,140.00,200.00
31,123.00,205.00
32,124.00,197.00
33,227.00,198.00
34,210.00,190.00
35,192.00,199.00
36,210.00,204.00
37,212.00,196.00
38,147.00,199.70
39,147.00,232.00
40,135.00,248.00
41,140.00,258.00
42,160.00,267.00
43,183.00,258.00
44,190.00,249.00
45,174.00,232.00
46,174.00,199.30
47,144.00,258.00
48,175.00,258.00
49,119.00,284.00
50,135.00,280.00
51,151.00,279.00
52,160.00,281.00
53,170.00,279.00
54,189.00,279.00
55,210.00,282.00
56,197.00,298.00
57,180.00,307.00
58,161.00,309.00
59,144.00,307.00
60,129.00,299.00
61,141.00,298.00
62,161.00,301.00
63,184.00,297.00
64,183.00,282.00
65,161.00,285.00
66,141.00,283.00
67,161.00,293.00
68,158.00,252.00
69,115.00,193.00
70,131.00,194.00
71,131.00,204.00
72,114.00,203.00
73,219.00,192.00
74,201.00,192.00
75,201.00,202.00
76,219.00,203.00
