facialLandmark,x,y
1,249.96,222.07
2,251.67,257.44
3,257.87,289.61
4,266.45,323.14
5,277.71,345.19
6,290.49,364.07
7,305.51,381.72
8,331.31,388.39
9,356.60,383.19
10,377.82,367.88
11,397.26,350.36
12,413.38,324.83
13,422.20,289.05
14,426.33,255.53
15,429.59,219.61
16,402.18,205.47
17,382.22,196.66
18,362.18,199.18
19,341.95,209.46
20,363.33,208.46
21,382.00,206.58
22,252.66,210.57
23,268.43,199.22
24,285.87,201.24
25,305.51,211.54
26,285.30,210.51
27,268.96,209.67
28,272.02,223.42
29,286.50,216.08
30,303.76,223.75
31,286.73,229.29
32,286.96,221.76
33,382.85,221.00
34,366.08,214.64
35,348.90,222.10
36,366.24,228.83
37,366.01,220.01
38,315.68,225.70
39,312.01,256.94
40,300.90,278.24
41,305.66,289.35
42,323.87,297.55
43,342.48,288.80
44,349.66,276.70
45,336.80,258.16
46,333.92,225.57
47,309.11,288.48
48,337.37,287.74
49,294.44,322.51
50,306.33,320.05
51,317.24,318.58
52,325.31,319.83
53,334.11,318.27
54,346.69,318.57
55,362.11,320.67
56,352.33,329.15
57,341.01,334.30
58,326.58,336.27
59,313.42,334.98
60,303.30,330.63
61,311.96,326.32
62,326.27,328.48
63,341.71,325.65
64,341.67,322.73
65,325.97,324.61
66,311.73,323.94
67,326.13,325.95
68,321.51,282.84
69,279.18,219.59
70,295.03,219.90
71,295.31,226.40
72,279.50,226.29
73,374.59,217.74
74,357.69,218.42
75,357.50,225.77
76,374.44,224.89
