facialLandmark,x,y
1,64.15,168.01
2,65.32,200.38
3,70.81,229.42
4,81.41,261.17
5,94.26,277.17
6,108.77,290.68
7,123.85,305.50
8,147.07,311.24
9,171.50,304.40
10,187.85,288.81
11,202.94,275.40
12,216.43,256.33
13,225.47,225.06
14,231.08,197.19
15,232.79,164.99
16,219.02,153.82
17,203.60,144.38
18,185.44,146.75
19,167.89,155.73
20,186.63,154.01
21,203.10,152.23
22,75.85,157.95
23,92.28,147.25
24,111.01,148.72
25,129.00,157.65
26,109.87,156.10
27,92.96,155.33
28,90.57,168.43
29,106.03,160.33
30,122.77,169.78
31,105.80,174.96
32,106.33,166.43
33,204.46,165.87
34,188.87,158.63
35,172.17,168.12
36,189.32,172.20
37,188.71,164.69
38,137.52,171.71
39,135.10,202.70
40,123.40,216.93
41,131.07,230.74
42,147.41,235.56
43,164.60,229.86
44,171.99,216.94
45,159.64,202.01
46,156.59,171.47
47,134.56,227.04
48,160.87,226.71
49,116.09,254.88
50,128.64,254.03
51,139.51,252.58
52,147.37,253.61
53,155.26,252.45
54,166.05,253.43
55,178.42,254.05
56,170.19,263.41
57,160.58,269.46
58,147.37,271.84
59,134.32,269.80
60,124.58,264.25
61,133.47,260.46
62,147.33,262.25
63,161.38,259.69
64,161.19,258.13
65,147.37,259.05
66,133.59,258.30
67,147.60,260.33
68,147.84,220.76
69,98.25,164.28
70,114.27,165.06
71,114.35,172.37
72,98.22,171.70
73,196.81,162.26
74,180.75,163.26
75,180.88,170.31
76,196.86,169.03
