facialLandmark,x,y
1,64.00,163.00
2,63.70,202.70
3,67.50,238.00
4,70.00,254.00
5,82.70,278.00
6,100.00,298.30
7,122.00,315.00
8,152.00,322.00
9,182.00,319.00
10,206.70,304.30
11,226.70,284.70
12,242.00,260.00
13,246.00,244.00
14,252.00,209.30
15,254.00,172.00
16,232.00,158.00
17,214.00,149.00
18,194.00,151.00
19,175.00,161.00
20,195.00,161.00
21,213.00,159.00
22,80.00,152.00
23,97.00,143.00
24,117.00,146.00
25,137.00,158.00
26,116.00,156.00
27,97.00,153.00
28,98.00,165.00
29,113.00,158.00
30,130.00,168.00
31,113.00,171.00
32,114.00,164.00
33,216.00,171.00
34,201.00,163.00
35,184.00,171.00
36,200.00,177.00
37,200.00,169.00
38,142.00,169.00
39,142.00,197.00
40,126.00,216.00
41,134.00,226.00
42,155.00,233.00
43,176.00,228.00
44,184.00,219.00
45,169.00,198.00
46,169.00,170.00
47,140.00,223.00
48,170.00,225.00
49,116.00,255.00
50,132.00,250.00
51,147.00,249.00
52,155.00,251.00
53,164.00,250.00
54,178.00,252.00
55,193.00,258.00
56,182.00,267.00
57,169.00,271.00
58,154.00,271.00
59,139.00,269.00
60,127.00,264.00
61,137.00,260.00
62,154.00,263.00
63,172.00,262.00
64,172.00,256.00
65,155.00,256.00
66,138.00,255.00
67,154.50,259.50
68,155.00,217.00
69,106.00,160.00
70,122.00,161.00
71,121.00,170.00
72,105.00,169.00
73,208.00,166.00
74,192.00,165.00
75,192.00,175.00
76,208.00,175.00
