facialLandmark,x,y
1,69.00,181.00
2,67.30,213.70
3,69.00,241.00
4,70.00,253.00
5,80.00,277.00
6,95.70,297.70
7,117.00,315.00
8,146.00,321.00
9,176.00,318.00
10,204.00,302.70
11,226.30,281.70
12,243.00,255.00
13,244.50,241.00
14,245.30,209.00
15,241.00,173.00
16,210.00,161.00
17,193.00,151.00
18,174.00,151.00
19,157.00,161.00
20,175.00,161.00
21,192.00,160.00
22,74.00,170.00
23,85.00,156.00
24,102.00,155.00
25,120.00,164.00
26,102.00,165.00
27,87.00,167.00
28,87.00,181.00
29,100.00,172.00
30,115.00,180.00
31,100.00,184.00
32,101.00,178.00
33,198.00,175.00
34,183.00,168.00
35,169.00,177.00
36,184.00,180.00
37,184.00,174.00
38,127.00,179.00
39,127.00,203.00
40,112.00,219.00
41,118.00,230.00
42,141.00,235.00
43,167.00,227.00
44,172.00,216.00
45,154.00,202.00
46,154.00,178.00
47,124.00,227.00
48,157.00,225.00
49,103.00,256.00
50,118.00,249.00
51,133.00,247.00
52,142.00,249.00
53,151.00,246.00
54,169.00,247.00
55,190.00,252.00
56,178.00,264.00
57,162.00,271.00
58,144.00,272.00
59,128.00,272.00
60,114.00,267.00
61,124.00,262.00
62,144.00,264.00
63,165.00,261.00
64,164.00,252.00
65,143.00,255.00
66,124.00,255.00
67,143.50,259.50
68,138.00,220.00
69,93.00,175.00
70,108.00,175.00
71,108.00,183.00
72,94.00,183.00
73,191.00,170.00
74,176.00,171.00
75,176.00,179.00
76,191.00,178.00
