facialLandmark,x,y
1,672.62,1304.55
2,671.09,1464.33
3,679.06,1604.28
4,681.47,1730.64
5,753.65,1940.09
6,889.28,2049.31
7,1077.07,2082.23
8,1250.89,2092.06
9,1402.89,2054.34
10,1540.76,1988.58
11,1633.69,1865.01
12,1674.78,1678.28
13,1672.93,1530.79
14,1664.96,1376.47
15,1628.60,1213.23
16,1547.37,1077.09
17,1459.88,1020.90
18,1365.15,1024.35
19,1277.89,1095.00
20,1375.87,1063.78
21,1459.82,1049.90
22,790.50,1166.58
23,880.43,1090.57
24,984.97,1072.54
25,1084.67,1120.35
26,982.87,1111.97
27,887.49,1117.53
28,883.05,1282.92
29,963.84,1210.46
30,1056.58,1266.71
31,972.27,1304.37
32,975.18,1256.87
33,1488.47,1214.48
34,1402.03,1159.03
35,1318.27,1235.02
36,1411.42,1251.91
37,1405.28,1207.56
38,1143.49,1239.16
39,1136.33,1396.82
40,1094.76,1497.46
41,1135.15,1532.15
42,1225.15,1546.34
43,1305.12,1513.98
44,1334.02,1468.63
45,1272.76,1373.03
46,1233.28,1229.62
47,1164.08,1503.99
48,1281.99,1492.85
49,1042.73,1729.80
50,1103.62,1636.84
51,1184.09,1606.22
52,1227.81,1599.90
53,1269.92,1599.11
54,1344.37,1616.10
55,1397.51,1703.48
56,1364.45,1759.28
57,1308.61,1780.99
58,1240.70,1791.21
59,1162.59,1792.07
60,1090.20,1778.35
61,1142.93,1752.41
62,1237.64,1755.79
63,1319.82,1737.69
64,1314.50,1638.60
65,1229.40,1640.96
66,1134.58,1654.15
67,1234.19,1694.83
68,1222.96,1447.55
69,922.34,1246.76
70,1008.90,1237.93
71,1013.88,1285.60
72,927.53,1292.95
73,1446.49,1185.68
74,1360.66,1196.43
75,1363.99,1244.71
76,1450.02,1233.93
