facialLandmark,x,y
1,38.76,156.48
2,37.76,187.23
3,42.01,214.80
4,49.62,241.70
5,57.61,260.97
6,68.14,280.05
7,83.37,295.27
8,107.66,302.00
9,132.95,298.75
10,154.18,285.57
11,171.26,270.73
12,185.26,249.10
13,194.55,222.95
14,200.07,194.85
15,203.48,161.83
16,181.93,145.07
17,165.92,132.13
18,146.76,130.91
19,129.07,139.84
20,146.95,141.13
21,164.44,142.31
22,45.35,138.49
23,58.52,127.36
24,73.95,127.68
25,90.92,138.67
26,73.42,137.72
27,58.94,137.63
28,57.52,156.49
29,69.96,149.88
30,84.00,158.47
31,69.43,161.42
32,69.99,155.57
33,167.10,160.82
34,153.36,153.33
35,139.09,160.64
36,153.04,165.89
37,153.05,158.77
38,100.90,158.54
39,94.92,187.28
40,81.41,202.17
41,85.49,212.49
42,106.16,221.15
43,128.24,214.46
44,135.63,206.04
45,122.61,189.91
46,120.34,159.56
47,90.79,212.32
48,121.06,213.86
49,69.20,239.12
50,83.34,233.48
51,97.71,232.41
52,105.72,234.23
53,114.82,233.06
54,131.22,234.77
55,149.25,240.97
56,138.30,254.58
57,122.55,261.67
58,105.47,263.30
59,90.31,260.86
60,77.39,252.88
61,88.56,249.38
62,105.75,252.85
63,125.22,250.58
64,125.29,239.38
65,106.02,239.95
66,88.97,238.60
67,105.75,245.96
68,104.88,206.96
69,63.72,153.11
70,76.98,154.37
71,76.71,160.05
72,63.41,159.05
73,160.27,157.02
74,146.15,156.93
75,146.11,163.30
76,160.12,163.42
