facialLandmark,x,y
1,62.00,191.00
2,73.30,225.70
3,86.00,252.50
4,92.00,264.00
5,108.00,280.00
6,124.70,292.30
7,142.00,301.00
8,166.00,301.00
9,190.00,292.00
10,205.30,276.00
11,217.30,258.30
12,226.00,239.00
13,227.00,225.00
14,227.30,194.30
15,223.00,158.00
16,209.00,149.00
17,190.00,136.00
18,170.00,139.00
19,153.00,154.00
20,172.00,149.00
21,190.00,146.00
22,68.00,176.00
23,79.00,159.00
24,98.00,154.00
25,118.00,161.00
26,100.00,164.00
27,83.00,168.00
28,87.00,186.00
29,99.00,175.00
30,116.00,181.00
31,102.00,188.00
32,102.00,180.00
33,194.00,164.00
34,178.00,159.00
35,164.00,171.00
36,181.00,172.00
37,180.00,165.00
38,130.00,177.70
39,130.00,203.00
40,121.00,223.00
41,128.00,229.00
42,149.00,231.00
43,169.00,220.00
44,174.00,212.00
45,155.00,198.00
46,155.00,174.30
47,134.00,226.00
48,162.00,220.00
49,118.00,257.00
50,132.00,249.00
51,144.00,245.00
52,153.00,244.00
53,160.00,241.00
54,175.00,240.00
55,192.00,241.00
56,183.00,252.00
57,171.00,260.00
58,158.00,265.00
59,143.00,266.00
60,130.00,265.00
61,139.00,257.00
62,155.00,255.00
63,171.00,250.00
64,171.00,246.00
65,154.00,251.00
66,138.00,253.00
67,154.50,253.00
68,145.00,217.00
69,93.00,179.00
70,107.00,176.00
71,109.00,185.00
72,95.00,188.00
73,186.00,160.00
74,171.00,163.00
75,173.00,173.00
76,187.00,169.00
