facialLandmark,x,y
1,81.00,168.00
2,83.00,203.70
3,89.00,235.00
4,93.00,249.00
5,106.30,267.00
6,122.70,282.30
7,142.00,295.00
8,168.00,299.00
9,188.00,294.00
10,200.00,282.00
11,211.00,267.70
12,221.00,251.00
13,225.00,237.50
14,232.30,206.70
15,236.00,170.00
16,233.00,158.00
17,221.00,144.00
18,204.00,143.00
19,187.00,152.00
20,204.00,153.00
21,219.00,155.00
22,100.00,159.00
23,115.00,143.00
24,135.00,142.00
25,154.00,151.00
26,135.00,152.00
27,117.00,154.00
28,117.00,169.00
29,130.00,162.00
30,144.00,170.00
31,130.00,174.00
32,128.00,167.00
33,216.00,170.00
34,204.00,163.00
35,190.00,170.00
36,204.00,174.00
37,202.00,168.00
38,160.00,170.00
39,160.00,195.00
40,145.00,211.00
41,151.00,220.00
42,173.00,226.00
43,193.00,220.00
44,197.00,211.00
45,185.00,195.00
46,185.00,170.00
47,159.00,218.00
48,188.00,219.00
49,132.00,247.00
50,150.00,243.00
51,165.00,242.00
52,172.00,244.00
53,180.00,242.00
54,191.00,244.00
55,203.00,248.00
56,194.00,257.00
57,183.00,262.00
58,170.00,263.00
59,156.00,261.00
60,143.00,256.00
61,154.00,251.00
62,171.00,253.00
63,186.00,251.00
64,186.00,249.00
65,171.00,250.00
66,154.00,249.00
67,171.00,251.50
68,176.00,212.00
69,123.00,164.00
70,137.00,165.00
71,137.00,172.00
72,123.00,172.00
73,210.00,165.00
74,197.00,165.00
75,197.00,173.00
76,210.00,173.00
