facialLandmark,x,y
1,147.00,155.00
2,141.70,190.00
3,141.00,220.50
4,141.00,235.00
5,147.00,260.30
6,157.70,282.70
7,173.00,302.00
8,199.00,313.00
9,227.00,315.00
10,255.00,305.00
11,279.30,288.30
12,300.00,265.00
13,305.00,249.50
14,313.30,216.00
15,318.00,179.00
16,290.00,162.00
17,275.00,149.00
18,255.00,146.00
19,236.00,153.00
20,255.00,156.00
21,272.00,159.00
22,152.00,145.00
23,166.00,134.00
24,183.00,136.00
25,199.00,148.00
26,182.00,147.00
27,166.00,145.00
28,164.00,159.00
29,178.00,153.00
30,193.00,163.00
31,177.00,166.00
32,178.00,159.00
33,276.00,174.00
34,262.00,164.00
35,245.00,170.00
36,260.00,177.00
37,262.00,170.00
38,200.00,165.30
39,200.00,193.00
40,186.00,209.00
41,191.00,220.00
42,208.00,227.00
43,229.00,225.00
44,238.00,216.00
45,225.00,198.00
46,225.00,167.70
47,195.00,217.00
48,223.00,221.00
49,178.00,246.00
50,189.00,241.00
51,200.00,240.00
52,207.00,242.00
53,215.00,242.00
54,228.00,246.00
55,242.00,255.00
56,230.00,261.00
57,218.00,261.00
58,205.00,260.00
59,194.00,257.00
60,185.00,253.00
61,193.00,248.00
62,206.00,252.00
63,222.00,253.00
64,222.00,250.00
65,207.00,249.00
66,193.00,247.00
67,206.50,250.50
68,207.00,212.00
69,172.00,154.00
70,186.00,157.00
71,185.00,166.00
72,170.00,163.00
73,269.00,167.00
74,254.00,165.00
75,252.00,175.00
76,268.00,177.00
