facialLandmark,x,y
1,85.00,94.00
2,87.00,109.30
3,90.50,121.50
4,92.00,127.00
5,100.70,137.00
6,111.00,144.30
7,123.00,149.00
8,135.00,149.00
9,146.00,145.00
10,153.30,136.30
11,158.70,126.30
12,162.00,115.00
13,161.50,109.00
14,159.70,95.00
15,156.00,80.00
16,150.00,75.00
17,142.00,72.00
18,135.00,75.00
19,128.00,81.00
20,136.00,79.00
21,143.00,76.00
22,92.00,88.00
23,99.00,82.00
24,107.00,81.00
25,116.00,84.00
26,107.00,85.00
27,99.00,86.00
28,100.00,92.00
29,106.00,87.00
30,113.00,89.00
31,107.00,93.00
32,107.00,89.00
33,144.00,82.00
34,137.00,80.00
35,131.00,85.00
36,139.00,86.00
37,138.00,83.00
38,120.00,87.70
39,120.00,99.00
40,116.00,108.00
41,120.00,111.00
42,128.00,112.00
43,135.00,108.00
44,137.00,104.00
45,130.00,97.00
46,130.00,86.30
47,122.00,109.00
48,133.00,107.00
49,112.00,123.00
50,119.00,120.00
51,126.00,118.00
52,129.00,118.00
53,133.00,116.00
54,139.00,115.00
55,146.00,116.00
56,142.00,122.00
57,137.00,125.00
58,131.00,127.00
59,124.00,128.00
60,118.00,127.00
61,123.00,125.00
62,131.00,125.00
63,138.00,122.00
64,137.00,117.00
65,129.00,119.00
66,122.00,120.00
67,130.00,122.00
68,127.00,105.00
69,103.00,88.00
70,109.00,87.00
71,110.00,91.00
72,103.00,93.00
73,141.00,80.00
74,134.00,82.00
75,135.00,86.00
76,142.00,85.00
