facialLandmark,x,y
1,138.23,149.80
2,138.98,172.65
3,142.89,194.61
4,153.30,219.18
5,162.47,226.93
6,172.35,236.71
7,184.07,246.75
8,200.87,250.25
9,219.53,245.51
10,233.32,234.41
11,243.56,224.02
12,252.62,213.28
13,261.47,192.60
14,266.05,172.41
15,268.28,148.94
16,248.99,139.83
17,237.72,134.76
18,225.78,136.34
19,215.37,142.14
20,226.75,141.89
21,237.96,140.55
22,153.93,137.69
23,165.36,132.88
24,177.17,134.96
25,187.80,141.81
26,176.06,140.52
27,165.21,138.85
28,158.81,150.37
29,169.77,145.09
30,181.61,152.06
31,169.55,155.47
32,169.48,149.63
33,242.81,150.87
34,231.39,145.60
35,219.76,152.42
36,231.85,155.28
37,231.50,150.28
38,193.66,152.67
39,191.17,176.15
40,180.31,186.01
41,185.24,193.15
42,200.55,198.03
43,216.04,193.40
44,221.56,187.54
45,211.52,176.97
46,208.76,152.78
47,189.35,192.02
48,211.77,192.50
49,172.95,211.62
50,183.79,206.75
51,194.55,205.71
52,200.10,206.81
53,206.15,205.78
54,216.22,207.11
55,226.53,211.97
56,221.02,222.99
57,211.54,229.84
58,199.57,231.71
59,188.12,229.90
60,178.61,223.16
61,188.19,219.81
62,199.97,221.70
63,212.46,219.41
64,212.10,212.54
65,200.05,213.05
66,188.36,212.15
67,199.85,217.25
68,200.88,188.42
69,164.18,147.65
70,175.65,148.68
71,175.63,153.73
72,164.09,152.96
73,237.10,148.27
74,225.50,148.98
75,225.82,153.79
76,237.33,153.00
