facialLandmark,x,y
1,142.08,126.75
2,143.07,150.31
3,146.92,170.09
4,152.40,191.02
5,160.45,204.51
6,168.40,216.81
7,180.86,227.56
8,199.26,231.09
9,217.13,230.60
10,231.76,223.93
11,244.07,212.30
12,253.54,200.02
13,261.18,176.98
14,264.77,154.46
15,266.31,130.23
16,249.40,121.88
17,237.07,112.77
18,223.43,113.86
19,211.24,121.81
20,224.33,121.46
21,236.42,120.75
22,149.63,119.30
23,159.65,111.00
24,172.08,112.75
25,184.72,121.21
26,171.35,119.86
27,159.82,118.81
28,157.20,127.59
29,167.76,122.47
30,179.71,128.83
31,167.92,132.02
32,168.82,126.49
33,241.26,130.14
34,229.88,125.17
35,218.86,130.48
36,229.84,134.44
37,230.88,128.92
38,191.43,129.85
39,188.00,156.81
40,179.36,166.82
41,182.76,174.57
42,197.73,181.82
43,213.88,175.64
44,217.74,169.71
45,208.03,157.14
46,206.14,130.05
47,185.76,175.23
48,209.10,176.07
49,171.03,193.30
50,182.47,191.63
51,192.01,191.35
52,197.72,192.93
53,203.38,191.62
54,213.47,192.43
55,226.67,194.63
56,218.08,200.15
57,208.49,202.44
58,198.29,202.90
59,188.61,202.28
60,179.09,199.47
61,186.29,194.88
62,197.97,196.59
63,208.98,195.88
64,208.85,196.55
65,197.85,197.07
66,186.27,196.05
67,197.84,196.65
68,197.46,173.26
69,162.43,124.96
70,173.73,125.85
71,173.84,130.39
72,162.46,129.76
73,235.54,127.62
74,224.39,127.76
75,224.43,132.50
76,235.54,132.33
