facialLandmark,x,y
1,397.28,1199.27
2,412.47,1382.63
3,439.60,1565.19
4,493.61,1744.36
5,612.66,1914.44
6,756.47,1995.41
7,927.78,2049.49
8,1099.80,2053.88
9,1259.06,2003.25
10,1371.40,1909.31
11,1435.07,1774.78
12,1462.81,1624.83
13,1473.43,1443.26
14,1465.12,1268.86
15,1431.84,1091.36
16,1375.59,1031.03
17,1284.13,955.60
18,1174.57,964.10
19,1086.47,1041.40
20,1186.16,1034.70
21,1284.94,1025.57
22,575.42,1117.75
23,652.29,1028.49
24,764.30,1003.65
25,879.89,1049.42
26,773.73,1071.98
27,671.44,1089.16
28,672.54,1172.26
29,753.86,1107.56
30,850.30,1151.47
31,765.89,1194.56
32,751.06,1147.31
33,1284.38,1108.13
34,1196.84,1062.55
35,1121.34,1128.15
36,1210.83,1152.85
37,1193.93,1103.43
38,947.41,1131.82
39,953.91,1337.32
40,896.67,1446.87
41,939.71,1489.11
42,1062.38,1515.42
43,1153.06,1470.92
44,1181.20,1426.67
45,1107.72,1311.45
46,1053.44,1118.25
47,972.38,1477.02
48,1137.93,1459.39
49,870.06,1692.23
50,947.60,1642.99
51,1022.23,1629.27
52,1070.34,1630.09
53,1113.27,1617.94
54,1180.54,1619.58
55,1234.79,1646.74
56,1196.05,1698.55
57,1143.39,1731.52
58,1079.08,1747.81
59,1001.33,1752.54
60,928.00,1737.66
61,978.38,1696.98
62,1074.42,1704.17
63,1166.69,1676.95
64,1161.81,1632.16
65,1069.79,1648.05
66,972.48,1652.49
67,1072.26,1676.60
68,1062.70,1437.85
69,712.49,1139.64
70,800.65,1130.07
71,807.60,1172.84
72,718.90,1184.08
73,1242.01,1084.12
74,1160.19,1094.41
75,1166.95,1141.44
76,1247.31,1129.96
