facialLandmark,x,y
1,253.07,393.55
2,253.85,449.54
3,266.40,501.94
4,289.49,556.78
5,314.49,588.95
6,337.15,617.97
7,365.11,649.91
8,408.97,664.34
9,456.67,653.99
10,493.08,625.49
11,523.15,595.68
12,549.65,560.65
13,571.38,500.36
14,578.65,445.01
15,577.62,388.09
16,538.05,362.76
17,502.48,347.08
18,465.91,351.09
19,429.47,368.32
20,467.75,366.55
21,502.15,363.11
22,268.63,372.52
23,298.18,353.43
24,332.07,356.30
25,368.36,373.11
26,331.60,371.56
27,298.86,369.86
28,299.24,395.53
29,324.44,384.04
30,353.87,397.63
31,324.81,405.85
32,324.34,393.00
33,506.70,390.96
34,477.59,381.56
35,450.04,395.47
36,478.60,399.46
37,477.26,389.97
38,382.54,395.61
39,375.55,462.44
40,356.39,486.05
41,366.89,508.62
42,400.24,521.67
43,434.99,510.05
44,447.93,490.87
45,423.53,462.01
46,416.86,395.23
47,373.64,508.92
48,425.22,508.74
49,347.74,548.66
50,366.96,539.69
51,387.27,537.28
52,401.61,539.20
53,416.63,537.08
54,442.46,540.42
55,469.26,548.84
56,456.80,573.72
57,434.41,588.30
58,405.32,593.92
59,378.45,588.24
60,359.09,573.54
61,376.31,567.03
62,403.55,574.20
63,434.08,568.74
64,432.96,548.72
65,402.42,549.96
66,376.47,548.07
67,403.60,560.83
68,396.70,497.93
69,311.69,389.85
70,339.05,390.90
71,339.26,402.04
72,311.98,400.90
73,492.43,386.26
74,463.87,388.26
75,464.51,397.55
76,492.67,395.16
