facialLandmark,x,y
1,79.00,104.00
2,78.30,123.70
3,79.50,140.50
4,80.00,148.00
5,88.70,161.30
6,99.70,172.00
7,113.00,180.00
8,128.00,182.00
9,141.00,179.00
10,149.70,171.00
11,156.00,162.00
12,160.00,152.00
13,161.00,144.50
14,162.70,127.70
15,162.00,107.00
16,162.00,100.00
17,155.00,94.00
18,147.00,94.00
19,138.00,99.00
20,147.00,99.00
21,155.00,99.00
22,93.00,98.00
23,102.00,93.00
24,112.00,93.00
25,120.00,99.00
26,111.00,98.00
27,102.00,98.00
28,99.00,105.00
29,107.00,101.00
30,115.00,106.00
31,107.00,108.00
32,107.00,104.00
33,154.00,106.00
34,148.00,102.00
35,140.00,107.00
36,148.00,109.00
37,148.00,105.00
38,123.00,106.30
39,123.00,122.00
40,115.00,130.00
41,118.00,135.00
42,130.00,139.00
43,140.00,135.00
44,143.00,130.00
45,136.00,121.00
46,136.00,106.70
47,122.00,134.00
48,138.00,135.00
49,107.00,149.00
50,117.00,147.00
51,125.00,147.00
52,130.00,148.00
53,134.00,147.00
54,141.00,147.00
55,148.00,149.00
56,143.00,154.00
57,137.00,157.00
58,129.00,158.00
59,121.00,158.00
60,113.00,155.00
61,119.00,153.00
62,129.00,154.00
63,138.00,153.00
64,138.00,149.00
65,129.00,150.00
66,119.00,150.00
67,129.00,152.00
68,131.00,131.00
69,103.00,102.00
70,111.00,103.00
71,111.00,108.00
72,103.00,107.00
73,151.00,103.00
74,144.00,103.00
75,144.00,108.00
76,151.00,108.00
