facialLandmark,x,y
1,63.00,105.00
2,62.30,129.00
3,65.00,150.00
4,67.00,159.00
5,72.30,169.70
6,79.00,179.30
7,87.00,188.00
8,99.00,192.00
9,114.00,191.00
10,126.70,183.70
11,137.30,175.00
12,146.00,165.00
13,149.50,158.00
14,156.30,140.30
15,161.00,119.00
16,150.00,112.00
17,141.00,105.00
18,129.00,105.00
19,117.00,110.00
20,129.00,110.00
21,140.00,111.00
22,72.00,99.00
23,83.00,94.00
24,93.00,98.00
25,102.00,106.00
26,92.00,103.00
27,82.00,100.00
28,79.00,107.00
29,88.00,105.00
30,96.00,111.00
31,87.00,112.00
32,88.00,108.00
33,140.00,118.00
34,132.00,112.00
35,122.00,116.00
36,131.00,120.00
37,132.00,116.00
38,99.00,112.70
39,99.00,128.00
40,90.00,137.00
41,92.00,143.00
42,103.00,149.00
43,115.00,146.00
44,120.00,142.00
45,113.00,131.00
46,113.00,114.30
47,95.00,143.00
48,112.00,145.00
49,81.00,156.00
50,90.00,156.00
51,97.00,157.00
52,102.00,158.00
53,107.00,158.00
54,115.00,160.00
55,124.00,162.00
56,117.00,167.00
57,109.00,170.00
58,101.00,169.00
59,93.00,167.00
60,86.00,163.00
61,92.00,162.00
62,101.00,164.00
63,111.00,164.00
64,112.00,162.00
65,102.00,161.00
66,93.00,159.00
67,101.50,162.50
68,103.00,141.00
69,84.00,105.00
70,92.00,107.00
71,92.00,112.00
72,83.00,111.00
73,136.00,114.00
74,127.00,113.00
75,127.00,119.00
76,135.00,119.00
