facialLandmark,x,y
1,79.00,102.00
2,77.00,125.70
3,78.00,144.00
4,79.00,151.00
5,86.30,163.70
6,96.00,174.30
7,108.00,183.00
8,122.00,187.00
9,136.00,185.00
10,147.30,178.30
11,156.70,170.30
12,164.00,161.00
13,167.00,154.50
14,172.70,137.30
15,176.00,113.00
16,171.00,106.00
17,163.00,101.00
18,153.00,102.00
19,143.00,107.00
20,153.00,106.00
21,163.00,106.00
22,96.00,97.00
23,107.00,95.00
24,117.00,98.00
25,126.00,106.00
26,116.00,103.00
27,106.00,100.00
28,101.00,105.00
29,110.00,102.00
30,118.00,109.00
31,109.00,110.00
32,109.00,106.00
33,163.00,112.00
34,155.00,107.00
35,145.00,111.00
36,154.00,114.00
37,154.00,110.00
38,124.00,109.70
39,124.00,129.00
40,116.00,135.00
41,118.00,141.00
42,129.00,147.00
43,140.00,144.00
44,144.00,138.00
45,139.00,131.00
46,139.00,110.30
47,122.00,142.00
48,138.00,143.00
49,105.00,152.00
50,115.00,151.00
51,123.00,151.00
52,128.00,153.00
53,132.00,152.00
54,140.00,153.00
55,147.00,156.00
56,141.00,162.00
57,134.00,164.00
58,126.00,164.00
59,117.00,162.00
60,110.00,158.00
61,116.00,157.00
62,126.00,159.00
63,136.00,159.00
64,136.00,156.00
65,127.00,156.00
66,117.00,154.00
67,126.50,157.50
68,131.00,140.00
69,105.00,103.00
70,114.00,104.00
71,113.00,110.00
72,105.00,109.00
73,159.00,108.00
74,150.00,108.00
75,150.00,113.00
76,158.00,114.00
