facialLandmark,x,y
1,61.00,103.00
2,59.30,127.70
3,60.50,148.00
4,61.00,157.00
5,69.00,172.30
6,80.30,184.70
7,95.00,194.00
8,113.00,197.00
9,129.00,195.00
10,143.00,187.00
11,154.00,175.00
12,162.00,159.00
13,163.00,150.50
14,164.70,131.30
15,165.00,108.00
16,156.00,99.00
17,148.00,91.00
18,139.00,90.00
19,128.00,94.00
20,138.00,95.00
21,147.00,97.00
22,72.00,95.00
23,80.00,88.00
24,90.00,87.00
25,101.00,92.00
26,90.00,93.00
27,81.00,93.00
28,81.00,104.00
29,89.00,98.00
30,98.00,104.00
31,89.00,106.00
32,88.00,102.00
33,148.00,107.00
34,140.00,101.00
35,131.00,106.00
36,139.00,109.00
37,139.00,105.00
38,108.00,104.70
39,108.00,121.00
40,101.00,131.00
41,105.00,138.00
42,115.00,140.00
43,125.00,139.00
44,129.00,132.00
45,123.00,121.00
46,123.00,105.30
47,108.00,134.00
48,123.00,135.00
49,95.00,158.00
50,103.00,153.00
51,111.00,151.00
52,115.00,152.00
53,120.00,151.00
54,126.00,154.00
55,132.00,161.00
56,127.00,165.00
57,121.00,166.00
58,114.00,166.00
59,107.00,165.00
60,100.00,163.00
61,106.00,160.00
62,114.00,161.00
63,123.00,161.00
64,123.00,156.00
65,115.00,155.00
66,106.00,155.00
67,114.50,158.00
68,116.00,129.00
69,85.00,100.00
70,93.00,100.00
71,93.00,106.00
72,85.00,105.00
73,144.00,103.00
74,135.00,102.00
75,135.00,108.00
76,143.00,108.00
