facialLandmark,x,y
1,35.00,69.00
2,37.00,82.00
3,40.50,93.50
4,42.00,99.00
5,46.70,106.30
6,52.30,112.70
7,59.00,118.00
8,69.00,120.00
9,79.00,117.00
10,87.70,110.30
11,94.30,102.30
12,99.00,93.00
13,100.00,86.50
14,100.30,73.30
15,98.00,60.00
16,87.00,56.00
17,79.00,53.00
18,72.00,55.00
19,66.00,60.00
20,73.00,59.00
21,80.00,57.00
22,37.00,64.00
23,41.00,59.00
24,48.00,59.00
25,54.00,62.00
26,48.00,63.00
27,42.00,63.00
28,42.00,69.00
29,47.00,65.00
30,53.00,67.00
31,48.00,70.00
32,48.00,67.00
33,82.00,62.00
34,76.00,61.00
35,71.00,64.00
36,77.00,65.00
37,77.00,63.00
38,57.00,66.00
39,57.00,76.00
40,53.00,84.00
41,55.00,87.00
42,63.00,88.00
43,71.00,84.00
44,74.00,80.00
45,66.00,74.00
46,66.00,65.00
47,57.00,85.00
48,68.00,84.00
49,54.00,99.00
50,57.00,95.00
51,61.00,94.00
52,64.00,94.00
53,67.00,93.00
54,72.00,93.00
55,79.00,95.00
56,75.00,99.00
57,71.00,101.00
58,66.00,102.00
59,61.00,103.00
60,57.00,102.00
61,60.00,99.00
62,65.00,99.00
63,71.00,97.00
64,71.00,95.00
65,65.00,97.00
66,60.00,97.00
67,65.00,98.00
68,61.00,82.00
69,45.00,67.00
70,50.00,66.00
71,50.00,69.00
72,45.00,70.00
73,79.00,61.00
74,74.00,62.00
75,74.00,65.00
76,80.00,64.00
