facialLandmark,x,y
1,37.00,60.00
2,34.70,75.70
3,34.50,88.50
4,35.00,94.00
5,37.70,103.30
6,41.30,112.00
7,46.00,120.00
8,55.00,125.00
9,66.00,126.00
10,74.70,122.00
11,82.70,117.00
12,90.00,111.00
13,93.00,105.00
14,98.70,91.00
15,103.00,76.00
16,96.00,70.00
17,89.00,66.00
18,81.00,66.00
19,73.00,69.00
20,80.00,70.00
21,88.00,70.00
22,41.00,57.00
23,48.00,57.00
24,55.00,61.00
25,60.00,67.00
26,53.00,64.00
27,47.00,60.00
28,45.00,63.00
29,52.00,62.00
30,57.00,67.00
31,50.00,67.00
32,52.00,64.00
33,89.00,73.00
34,84.00,70.00
35,77.00,72.00
36,83.00,75.00
37,84.00,72.00
38,58.00,68.70
39,58.00,81.00
40,52.00,86.00
41,53.00,90.00
42,60.00,95.00
43,69.00,94.00
44,72.00,91.00
45,68.00,82.00
46,68.00,70.30
47,55.00,91.00
48,67.00,93.00
49,46.00,98.00
50,51.00,99.00
51,56.00,100.00
52,59.00,101.00
53,63.00,101.00
54,69.00,102.00
55,75.00,104.00
56,70.00,107.00
57,64.00,108.00
58,58.00,108.00
59,53.00,106.00
60,49.00,103.00
61,53.00,102.00
62,59.00,105.00
63,66.00,105.00
64,66.00,103.00
65,59.00,103.00
66,53.00,101.00
67,59.00,104.00
68,60.00,90.00
69,49.00,62.00
70,55.00,64.00
71,54.00,68.00
72,48.00,66.00
73,87.00,71.00
74,81.00,70.00
75,80.00,74.00
76,86.00,75.00
