facialLandmark,x,y
1,510.72,999.72
2,523.55,1159.73
3,557.27,1306.53
4,605.83,1447.91
5,680.75,1561.17
6,765.06,1653.92
7,864.18,1757.06
8,1005.70,1792.38
9,1137.61,1744.78
10,1241.15,1645.21
11,1316.36,1534.83
12,1374.41,1385.45
13,1392.86,1217.90
14,1390.26,1054.20
15,1368.03,877.15
16,1269.11,795.46
17,1172.75,749.86
18,1070.64,761.64
19,975.61,818.67
20,1078.66,804.76
21,1171.20,792.33
22,529.12,915.98
23,593.72,845.29
24,671.06,829.51
25,771.21,861.89
26,677.04,875.53
27,603.29,886.69
28,610.80,994.43
29,679.85,940.31
30,773.62,975.40
31,688.84,1011.29
32,684.15,973.41
33,1189.60,899.03
34,1099.10,871.14
35,1018.59,933.07
36,1108.04,927.93
37,1101.60,903.35
38,838.48,958.59
39,835.84,1114.69
40,783.53,1202.02
41,815.88,1244.67
42,920.62,1269.50
43,1019.78,1217.99
44,1056.96,1175.70
45,975.19,1099.02
46,939.38,945.15
47,841.74,1237.38
48,986.98,1216.48
49,770.81,1412.88
50,818.94,1337.82
51,887.73,1309.44
52,928.07,1311.38
53,970.61,1299.34
54,1058.63,1304.92
55,1141.49,1360.00
56,1124.98,1466.30
57,1059.92,1537.81
58,968.71,1569.09
59,879.18,1562.59
60,807.12,1510.22
61,867.08,1474.43
62,956.24,1484.90
63,1049.15,1452.10
64,1034.77,1351.83
65,939.07,1370.73
66,857.35,1377.40
67,948.62,1425.24
68,903.35,1198.04
69,645.18,966.09
70,726.05,957.92
71,730.61,993.66
72,649.45,1002.86
73,1144.77,884.38
74,1058.81,901.46
75,1062.80,930.60
76,1148.46,914.30
