facialLandmark,x,y
1,53.47,185.02
2,50.98,215.68
3,52.00,242.59
4,54.97,271.52
5,70.40,308.12
6,95.79,333.12
7,129.91,346.85
8,167.15,350.82
9,202.83,343.70
10,235.54,327.98
11,258.86,304.04
12,270.84,265.75
13,270.98,235.63
14,268.95,206.27
15,263.75,172.75
16,231.06,151.68
17,212.32,139.45
18,194.40,138.21
19,176.41,148.97
20,195.35,148.08
21,211.68,148.11
22,71.23,160.11
23,86.83,146.04
24,104.75,143.68
25,124.72,152.39
26,104.94,153.18
27,88.23,154.53
28,84.80,182.52
29,101.65,169.80
30,122.72,180.55
31,103.49,187.03
32,104.85,177.97
33,220.70,174.17
34,201.06,164.10
35,182.46,177.23
36,202.63,181.53
37,202.77,172.52
38,140.79,175.64
39,139.26,205.86
40,121.36,228.92
41,130.76,237.34
42,158.26,241.28
43,183.93,233.29
44,192.45,224.77
45,170.19,203.05
46,164.15,173.92
47,138.51,234.00
48,174.90,231.77
49,114.75,272.13
50,131.28,249.14
51,150.89,242.54
52,159.16,243.11
53,167.03,241.26
54,186.42,244.89
55,205.19,264.90
56,197.91,282.22
57,181.81,291.21
58,162.84,294.12
59,143.76,294.51
60,124.91,288.78
61,141.55,281.65
62,161.73,281.29
63,180.19,278.43
64,178.72,254.98
65,160.38,257.03
66,140.27,258.59
67,160.81,268.39
68,156.55,223.41
69,93.00,176.03
70,111.96,175.17
71,112.90,183.75
72,93.97,184.60
73,210.92,169.14
74,191.44,170.50
75,192.28,179.44
76,211.65,178.03
