facialLandmark,x,y
1,60.00,101.00
2,59.70,122.00
3,62.00,140.50
4,63.00,149.00
5,72.30,165.00
6,84.70,177.30
7,100.00,186.00
8,118.00,188.00
9,131.00,186.00
10,140.30,176.70
11,147.70,165.70
12,153.00,153.00
13,154.50,144.00
14,158.00,125.00
15,158.00,105.00
16,156.00,99.00
17,147.00,91.00
18,137.00,91.00
19,127.00,96.00
20,137.00,97.00
21,147.00,97.00
22,77.00,98.00
23,87.00,90.00
24,100.00,89.00
25,111.00,95.00
26,100.00,95.00
27,88.00,96.00
28,85.00,102.00
29,94.00,97.00
30,103.00,102.00
31,94.00,104.00
32,94.00,100.00
33,148.00,103.00
34,140.00,98.00
35,131.00,103.00
36,139.00,105.00
37,139.00,101.00
38,113.00,102.30
39,113.00,117.00
40,106.00,127.00
41,109.00,133.00
42,121.00,136.00
43,130.00,133.00
44,133.00,128.00
45,127.00,117.00
46,127.00,102.70
47,114.00,131.00
48,128.00,131.00
49,95.00,150.00
50,106.00,148.00
51,116.00,147.00
52,121.00,148.00
53,126.00,147.00
54,133.00,148.00
55,139.00,150.00
56,134.00,156.00
57,127.00,159.00
58,119.00,160.00
59,110.00,159.00
60,102.00,156.00
61,109.00,155.00
62,120.00,156.00
63,129.00,155.00
64,129.00,149.00
65,120.00,149.00
66,109.00,148.00
67,120.00,152.50
68,123.00,127.00
69,90.00,98.00
70,99.00,98.00
71,99.00,104.00
72,90.00,104.00
73,144.00,99.00
74,135.00,99.00
75,135.00,105.00
76,144.00,105.00
