facialLandmark,x,y
1,314.00,437.00
2,305.30,527.00
3,310.00,608.50
4,314.00,646.00
5,338.70,696.70
6,373.00,741.30
7,417.00,780.00
8,477.00,797.00
9,530.00,792.00
10,562.00,764.00
11,589.70,733.00
12,613.00,699.00
13,626.50,665.50
14,654.00,588.70
15,672.00,496.00
16,668.00,459.00
17,641.00,433.00
18,605.00,431.00
19,565.00,448.00
20,604.00,451.00
21,637.00,453.00
22,371.00,412.00
23,413.00,397.00
24,454.00,407.00
25,489.00,435.00
26,448.00,427.00
27,410.00,418.00
28,390.00,450.00
29,426.00,437.00
30,458.00,464.00
31,421.00,469.00
32,421.00,451.00
33,636.00,487.00
34,608.00,464.00
35,572.00,481.00
36,604.00,496.00
37,604.00,479.00
38,489.00,469.70
39,489.00,533.00
40,450.00,572.00
41,464.00,595.00
42,510.00,614.00
43,551.00,609.00
44,568.00,589.00
45,546.00,539.00
46,546.00,475.30
47,482.00,589.00
48,544.00,599.00
49,414.00,661.00
50,453.00,655.00
51,485.00,655.00
52,504.00,660.00
53,522.00,660.00
54,546.00,668.00
55,568.00,683.00
56,547.00,701.00
57,523.00,709.00
58,494.00,708.00
59,462.00,700.00
60,435.00,685.00
61,461.00,677.00
62,497.00,686.00
63,530.00,687.00
64,532.00,678.00
65,500.00,674.00
66,463.00,668.00
67,498.50,680.00
68,521.00,577.00
69,409.00,440.00
70,442.00,446.00
71,439.00,469.00
72,405.00,463.00
73,623.00,472.00
74,590.00,468.00
75,588.00,490.00
76,620.00,494.00
