facialLandmark,x,y
1,92.00,215.00
2,94.70,257.00
3,103.00,302.00
4,108.00,325.00
5,127.30,356.30
6,149.30,384.30
7,174.00,409.00
8,209.00,416.00
9,242.00,410.00
10,264.70,387.30
11,285.00,361.70
12,303.00,333.00
13,307.50,309.50
14,314.70,261.30
15,316.00,213.00
16,294.00,202.00
17,274.00,185.00
18,248.00,186.00
19,224.00,199.00
20,249.00,200.00
21,272.00,201.00
22,115.00,204.00
23,135.00,188.00
24,160.00,188.00
25,183.00,200.00
26,160.00,202.00
27,137.00,203.00
28,131.00,216.00
29,149.00,207.00
30,169.00,216.00
31,150.00,223.00
32,148.00,213.00
33,275.00,213.00
34,256.00,205.00
35,236.00,215.00
36,256.00,220.00
37,256.00,211.00
38,189.00,215.70
39,189.00,255.00
40,172.00,278.00
41,181.00,291.00
42,207.00,299.00
43,231.00,290.00
44,239.00,277.00
45,221.00,254.00
46,221.00,215.30
47,187.00,289.00
48,225.00,288.00
49,164.00,328.00
50,181.00,320.00
51,197.00,318.00
52,208.00,320.00
53,218.00,318.00
54,234.00,319.00
55,251.00,326.00
56,242.00,341.00
57,227.00,351.00
58,209.00,354.00
59,190.00,352.00
60,174.00,343.00
61,187.00,338.00
62,208.00,342.00
63,229.00,337.00
64,228.00,324.00
65,208.00,327.00
66,187.00,326.00
67,208.00,334.50
68,206.00,282.00
69,140.00,209.00
70,159.00,210.00
71,159.00,221.00
72,140.00,221.00
73,265.00,207.00
74,246.00,207.00
75,246.00,219.00
76,265.00,219.00
