facialLandmark,x,y
1,65.00,183.00
2,68.30,227.70
3,77.00,264.00
4,81.00,279.00
5,93.00,302.30
6,108.70,323.30
7,128.00,342.00
8,153.00,347.00
9,185.00,338.00
10,211.70,314.70
11,232.70,288.70
12,248.00,260.00
13,248.50,242.50
14,248.30,203.00
15,240.00,160.00
16,216.00,142.00
17,195.00,129.00
18,172.00,133.00
19,154.00,147.00
20,175.00,144.00
21,196.00,141.00
22,62.00,162.00
23,76.00,147.00
24,93.00,145.00
25,112.00,155.00
26,93.00,157.00
27,77.00,158.00
28,78.00,183.00
29,93.00,172.00
30,110.00,180.00
31,94.00,187.00
32,95.00,179.00
33,203.00,165.00
34,185.00,158.00
35,169.00,171.00
36,188.00,174.00
37,189.00,165.00
38,121.00,177.00
39,121.00,211.00
40,113.00,224.00
41,117.00,241.00
42,137.00,245.00
43,161.00,235.00
44,164.00,218.00
45,149.00,207.00
46,149.00,174.00
47,122.00,238.00
48,151.00,233.00
49,108.00,277.00
50,119.00,270.00
51,131.00,266.00
52,140.00,268.00
53,149.00,264.00
54,166.00,264.00
55,187.00,266.00
56,175.00,278.00
57,161.00,286.00
58,144.00,290.00
59,129.00,290.00
60,118.00,286.00
61,125.00,280.00
62,143.00,281.00
63,163.00,275.00
64,162.00,270.00
65,142.00,274.00
66,125.00,275.00
67,142.50,277.50
68,132.00,228.00
69,85.00,175.00
70,101.00,174.00
71,102.00,185.00
72,86.00,186.00
73,194.00,160.00
74,177.00,162.00
75,179.00,173.00
76,196.00,171.00
