facialLandmark,x,y
1,69.00,156.00
2,70.30,193.00
3,77.00,226.00
4,81.00,241.00
5,91.70,261.00
6,105.00,279.00
7,121.00,295.00
8,146.00,301.00
9,171.00,296.00
10,185.70,281.30
11,198.30,264.30
12,209.00,245.00
13,213.00,231.00
14,221.00,199.70
15,225.00,163.00
16,220.00,141.00
17,204.00,131.00
18,185.00,134.00
19,167.00,145.00
20,186.00,142.00
21,203.00,139.00
22,76.00,135.00
23,94.00,126.00
24,114.00,130.00
25,132.00,143.00
26,112.00,139.00
27,94.00,134.00
28,91.00,157.00
29,107.00,149.00
30,124.00,160.00
31,107.00,166.00
32,108.00,156.00
33,205.00,162.00
34,190.00,153.00
35,173.00,163.00
36,190.00,170.00
37,189.00,160.00
38,137.00,161.00
39,137.00,187.00
40,124.00,207.00
41,132.00,213.00
42,149.00,219.00
43,165.00,215.00
44,174.00,208.00
45,161.00,188.00
46,161.00,162.00
47,137.00,210.00
48,161.00,211.00
49,116.00,240.00
50,130.00,233.00
51,142.00,231.00
52,149.00,232.00
53,156.00,232.00
54,167.00,235.00
55,178.00,242.00
56,170.00,252.00
57,160.00,257.00
58,148.00,258.00
59,135.00,256.00
60,125.00,250.00
61,134.00,244.00
62,148.00,247.00
63,161.00,246.00
64,162.00,241.00
65,148.00,241.00
66,135.00,240.00
67,148.00,244.00
68,150.00,203.00
69,99.00,152.00
70,116.00,153.00
71,116.00,164.00
72,99.00,163.00
73,198.00,156.00
74,181.00,156.00
75,181.00,167.00
76,198.00,167.00
