facialLandmark,x,y
1,334.29,444.15
2,344.31,559.88
3,365.67,661.56
4,391.51,763.86
5,440.48,830.08
6,490.44,879.04
7,549.42,935.38
8,636.39,961.57
9,718.33,942.93
10,779.86,894.06
11,835.66,847.32
12,886.29,790.97
13,922.03,684.13
14,945.41,576.68
15,960.03,456.81
16,892.92,395.72
17,829.54,360.54
18,764.17,370.40
19,707.00,411.35
20,770.70,402.13
21,829.61,390.65
22,379.36,386.79
23,435.30,352.39
24,499.23,364.72
25,557.12,409.92
26,492.97,394.77
27,435.42,382.91
28,432.59,452.60
29,485.89,424.88
30,543.42,466.40
31,483.59,482.76
32,486.19,450.16
33,835.40,459.11
34,779.72,431.51
35,724.64,470.11
36,782.47,492.14
37,778.78,455.98
38,598.01,469.40
39,584.13,599.03
40,553.39,653.78
41,576.51,678.69
42,632.09,701.75
43,685.42,679.96
44,709.64,656.76
45,676.38,597.43
46,668.13,469.43
47,586.55,673.94
48,673.70,674.24
49,518.51,764.42
50,563.74,746.44
51,608.18,739.18
52,634.13,742.95
53,659.94,739.33
54,709.16,744.72
55,760.23,758.99
56,727.28,799.74
57,686.75,825.24
58,636.48,833.67
59,589.62,827.01
60,550.20,804.17
61,581.01,781.03
62,634.98,790.64
63,690.80,781.30
64,689.93,765.94
65,634.43,769.12
66,582.38,767.53
67,634.86,779.65
68,628.97,656.25
69,459.14,438.31
70,514.51,445.93
71,513.77,474.53
72,458.06,468.16
73,808.06,445.68
74,751.83,450.90
75,753.45,481.42
76,808.94,475.90
