facialLandmark,x,y
1,85.77,179.10
2,86.44,206.12
3,91.09,228.71
4,95.84,249.13
5,103.81,273.32
6,116.95,290.25
7,138.00,298.48
8,160.48,300.24
9,181.99,296.28
10,199.90,286.05
11,211.62,268.54
12,217.42,244.37
13,219.93,222.48
14,222.13,199.15
15,218.52,172.20
16,207.33,154.56
17,193.37,146.15
18,178.90,147.69
19,165.96,158.23
20,180.54,155.91
21,193.70,153.51
22,95.74,162.12
23,108.69,152.33
24,124.07,151.72
25,139.26,160.06
26,123.67,159.70
27,109.43,159.39
28,107.25,178.01
29,119.46,169.20
30,134.01,176.61
31,120.60,181.96
32,121.38,175.04
33,199.83,172.74
34,186.73,165.53
35,173.78,174.45
36,187.63,177.54
37,188.10,171.52
38,146.12,175.48
39,144.55,199.88
40,138.66,215.37
41,145.48,220.58
42,156.81,222.17
43,168.98,219.11
44,173.96,214.16
45,165.40,197.65
46,160.53,174.39
47,147.91,215.77
48,165.45,215.07
49,129.55,247.06
50,140.16,238.98
51,150.92,235.43
52,157.24,235.50
53,163.14,234.66
54,174.27,237.27
55,185.37,244.02
56,178.10,252.73
57,168.98,256.90
58,158.63,258.50
59,147.78,258.00
60,137.76,254.68
61,144.90,251.16
62,158.16,252.24
63,170.07,249.77
64,169.60,240.37
65,157.46,241.13
66,144.33,241.73
67,157.87,246.47
68,156.58,207.66
69,113.28,173.57
70,126.70,172.95
71,127.36,179.28
72,113.85,179.92
73,193.40,169.01
74,180.38,170.00
75,180.73,175.99
76,193.69,175.28
