facialLandmark,x,y
1,55.00,94.00
2,56.00,113.70
3,60.50,134.50
4,63.00,144.00
5,71.70,154.70
6,82.30,164.70
7,95.00,174.00
8,110.00,177.00
9,123.00,175.00
10,132.30,166.30
11,140.30,157.70
12,147.00,149.00
13,149.50,139.00
14,154.00,117.00
15,155.00,95.00
16,151.00,88.00
17,141.00,81.00
18,130.00,83.00
19,119.00,90.00
20,130.00,89.00
21,141.00,88.00
22,64.00,89.00
23,74.00,81.00
24,87.00,83.00
25,99.00,90.00
26,86.00,89.00
27,74.00,88.00
28,75.00,96.00
29,83.00,92.00
30,93.00,96.00
31,84.00,100.00
32,83.00,95.00
33,140.00,96.00
34,131.00,92.00
35,123.00,96.00
36,132.00,99.00
37,131.00,95.00
38,103.00,96.00
39,103.00,112.00
40,94.00,121.00
41,98.00,129.00
42,111.00,133.00
43,123.00,129.00
44,125.00,120.00
45,117.00,111.00
46,117.00,96.00
47,102.00,127.00
48,120.00,127.00
49,90.00,146.00
50,100.00,146.00
51,107.00,145.00
52,112.00,147.00
53,117.00,145.00
54,123.00,146.00
55,130.00,145.00
56,125.00,150.00
57,119.00,152.00
58,111.00,153.00
59,103.00,152.00
60,96.00,150.00
61,101.00,146.00
62,111.00,147.00
63,120.00,146.00
64,120.00,149.00
65,112.00,149.00
66,102.00,149.00
67,111.50,148.00
68,112.00,124.00
69,79.00,93.00
70,88.00,94.00
71,88.00,99.00
72,79.00,98.00
73,136.00,93.00
74,127.00,93.00
75,127.00,98.00
76,136.00,98.00
