facialLandmark,x,y
1,65.00,100.00
2,67.70,119.00
3,72.00,138.00
4,75.00,147.00
5,82.30,156.30
6,90.70,164.30
7,100.00,171.00
8,112.00,173.00
9,126.00,169.00
10,135.30,160.30
11,142.70,150.70
12,148.00,140.00
13,150.00,132.00
14,152.70,115.30
15,154.00,98.00
16,145.00,94.00
17,138.00,88.00
18,129.00,88.00
19,120.00,93.00
20,129.00,93.00
21,138.00,93.00
22,76.00,93.00
23,83.00,87.00
24,92.00,88.00
25,101.00,92.00
26,92.00,93.00
27,84.00,93.00
28,83.00,100.00
29,90.00,97.00
30,98.00,100.00
31,90.00,103.00
32,90.00,99.00
33,138.00,100.00
34,131.00,97.00
35,123.00,100.00
36,131.00,103.00
37,131.00,99.00
38,103.00,100.00
39,103.00,116.00
40,96.00,126.00
41,100.00,130.00
42,110.00,133.00
43,120.00,130.00
44,124.00,125.00
45,116.00,115.00
46,116.00,100.00
47,102.00,129.00
48,118.00,129.00
49,94.00,143.00
50,101.00,140.00
51,106.00,140.00
52,110.00,140.00
53,114.00,139.00
54,120.00,140.00
55,126.00,143.00
56,122.00,148.00
57,117.00,151.00
58,111.00,152.00
59,104.00,151.00
60,99.00,148.00
61,103.00,145.00
62,110.00,146.00
63,118.00,145.00
64,118.00,143.00
65,110.00,144.00
66,103.00,143.00
67,110.00,145.00
68,110.00,126.00
69,86.00,98.00
70,94.00,97.00
71,94.00,102.00
72,86.00,102.00
73,134.00,97.00
74,127.00,98.00
75,127.00,102.00
76,134.00,102.00
