facialLandmark,x,y
1,366.83,276.16
2,367.83,327.22
3,375.80,371.14
4,387.39,413.80
5,408.09,444.08
6,429.81,469.56
7,456.77,495.74
8,495.38,507.18
9,539.18,496.65
10,573.22,471.19
11,599.62,443.56
12,623.87,405.43
13,635.43,360.44
14,643.08,317.32
15,644.44,267.63
16,610.34,233.34
17,582.17,219.87
18,551.54,225.72
19,526.04,246.28
20,555.11,237.55
21,582.36,230.93
22,381.74,244.95
23,406.96,231.76
24,431.76,235.40
25,457.22,251.74
26,429.42,246.70
27,406.58,242.28
28,403.19,277.19
29,427.95,264.73
30,455.40,280.29
31,427.69,287.91
32,431.20,274.78
33,587.79,269.68
34,560.21,258.86
35,534.48,276.48
36,562.16,283.51
37,562.32,269.48
38,476.12,279.25
39,470.23,334.27
40,454.96,353.62
41,465.64,367.06
42,491.99,378.60
43,522.06,364.68
44,532.95,355.79
45,513.57,332.18
46,506.23,277.86
47,470.76,365.51
48,513.14,364.62
49,432.37,397.47
50,458.47,391.77
51,481.55,390.33
52,492.75,391.91
53,503.80,389.97
54,528.38,391.15
55,556.81,396.78
56,541.76,421.03
57,519.76,434.46
58,494.36,438.59
59,470.02,434.51
60,447.97,421.23
61,468.01,419.53
62,493.99,423.96
63,520.16,418.59
64,519.29,399.50
65,493.33,402.61
66,468.20,400.22
67,494.21,411.69
68,490.73,356.24
69,415.39,270.77
70,441.57,272.44
71,441.57,283.96
72,415.15,282.48
73,574.12,264.28
74,547.28,267.60
75,548.19,280.05
76,574.79,276.86
