facialLandmark,x,y
1,693.61,1280.67
2,707.38,1450.81
3,735.97,1588.10
4,771.23,1728.23
5,851.33,1863.28
6,943.92,1960.40
7,1056.94,2042.59
8,1200.31,2069.19
9,1333.90,2030.24
10,1424.98,1942.15
11,1502.92,1842.40
12,1562.98,1704.60
13,1583.18,1555.47
14,1590.38,1402.52
15,1575.38,1222.36
16,1460.69,1142.91
17,1370.15,1097.98
18,1275.20,1119.29
19,1203.00,1187.34
20,1290.62,1157.84
21,1374.86,1138.00
22,788.27,1189.60
23,866.59,1141.28
24,957.92,1149.48
25,1035.94,1200.38
26,948.90,1188.93
27,866.09,1179.69
28,834.39,1272.34
29,909.95,1224.64
30,1000.19,1265.36
31,916.42,1295.82
32,921.58,1256.19
33,1430.26,1231.58
34,1341.78,1196.91
35,1261.04,1249.26
36,1349.14,1273.08
37,1354.32,1228.21
38,1077.37,1258.36
39,1068.51,1423.68
40,1003.70,1508.43
41,1044.67,1553.40
42,1158.02,1587.90
43,1264.23,1539.01
44,1295.65,1493.03
45,1211.19,1408.72
46,1173.58,1250.07
47,1071.90,1546.97
48,1234.34,1537.34
49,964.19,1702.60
50,1044.45,1660.81
51,1123.45,1649.89
52,1166.84,1650.80
53,1207.38,1644.06
54,1285.90,1644.87
55,1369.19,1680.91
56,1327.38,1757.19
57,1256.50,1792.78
58,1182.15,1801.60
59,1105.63,1799.65
60,1025.04,1770.77
61,1077.03,1764.25
62,1177.67,1776.40
63,1266.27,1756.82
64,1259.20,1665.71
65,1170.05,1681.51
66,1072.49,1679.54
67,1173.62,1723.57
68,1151.80,1519.54
69,871.44,1248.36
70,954.87,1245.96
71,958.31,1280.65
72,875.36,1283.88
73,1386.63,1214.10
74,1302.00,1222.90
75,1305.05,1261.61
76,1389.83,1253.38
