facialLandmark,x,y
1,491.23,1387.97
2,493.37,1616.45
3,526.85,1819.87
4,597.22,2030.19
5,703.95,2171.27
6,816.09,2277.86
7,950.59,2386.65
8,1119.22,2434.97
9,1287.62,2385.36
10,1395.03,2273.96
11,1465.75,2155.04
12,1539.41,2029.72
13,1614.88,1841.76
14,1672.62,1654.68
15,1697.06,1433.84
16,1633.41,1295.46
17,1509.80,1237.55
18,1382.12,1254.64
19,1269.93,1330.96
20,1393.10,1309.70
21,1512.54,1293.58
22,641.38,1255.88
23,781.19,1203.28
24,917.65,1224.84
25,1042.02,1309.79
26,905.68,1278.68
27,779.93,1254.32
28,741.90,1403.03
29,854.88,1356.07
30,971.45,1435.84
31,849.97,1465.66
32,858.95,1402.92
33,1530.39,1439.20
34,1419.91,1380.96
35,1304.47,1449.86
36,1425.76,1489.93
37,1418.09,1432.84
38,1091.30,1458.65
39,1065.16,1679.32
40,986.06,1779.44
41,1027.15,1843.52
42,1156.34,1902.41
43,1254.98,1850.85
44,1297.67,1798.64
45,1234.92,1673.99
46,1209.11,1459.89
47,1069.65,1844.68
48,1239.67,1849.97
49,877.53,1981.53
50,996.12,1979.04
51,1095.66,1982.77
52,1155.28,1990.37
53,1208.64,1983.79
54,1285.40,1990.01
55,1356.77,1992.29
56,1302.20,2066.88
57,1237.29,2118.48
58,1142.10,2138.13
59,1032.08,2117.95
60,943.67,2068.09
61,1039.61,2053.12
62,1147.34,2073.29
63,1251.19,2054.00
64,1250.46,2013.52
65,1152.18,2019.07
66,1041.51,2006.25
67,1149.95,2040.87
68,1165.89,1800.64
69,797.11,1379.33
70,912.13,1395.29
71,910.69,1450.47
72,795.04,1435.30
73,1476.17,1410.24
74,1362.87,1415.15
75,1364.88,1470.19
76,1476.94,1464.09
