facialLandmark,x,y
1,78.00,203.00
2,85.00,240.70
3,94.00,271.00
4,99.00,284.00
5,111.00,302.00
6,125.30,318.70
7,142.00,334.00
8,167.00,339.00
9,193.00,334.00
10,215.00,318.70
11,233.70,300.30
12,249.00,279.00
13,253.00,264.00
14,257.00,229.00
15,257.00,189.00
16,225.00,178.00
17,207.00,173.00
18,189.00,176.00
19,172.00,186.00
20,190.00,184.00
21,207.00,181.00
22,87.00,189.00
23,100.00,181.00
24,116.00,182.00
25,133.00,190.00
26,116.00,190.00
27,101.00,189.00
28,105.00,203.00
29,118.00,196.00
30,134.00,202.00
31,119.00,207.00
32,120.00,201.00
33,209.00,195.00
34,195.00,191.00
35,180.00,199.00
36,196.00,202.00
37,196.00,195.00
38,143.00,201.00
39,143.00,232.00
40,133.00,249.00
41,141.00,257.00
42,158.00,263.00
43,177.00,254.00
44,184.00,245.00
45,168.00,230.00
46,168.00,200.00
47,143.00,256.00
48,171.00,254.00
49,128.00,280.00
50,140.00,275.00
51,153.00,273.00
52,160.00,274.00
53,167.00,272.00
54,183.00,271.00
55,200.00,274.00
56,192.00,289.00
57,179.00,299.00
58,164.00,303.00
59,149.00,301.00
60,137.00,294.00
61,147.00,291.00
62,163.00,293.00
63,180.00,289.00
64,178.00,275.00
65,161.00,278.00
66,146.00,278.00
67,162.00,285.50
68,155.00,251.00
69,112.00,198.00
70,126.00,198.00
71,126.00,205.00
72,112.00,205.00
73,202.00,192.00
74,187.00,193.00
75,188.00,201.00
76,203.00,199.00
