facialLandmark,x,y
1,257.71,489.42
2,253.77,566.97
3,260.12,633.98
4,265.51,702.91
5,302.01,781.96
6,351.54,829.21
7,411.34,875.32
8,483.58,893.24
9,551.67,877.80
10,603.94,836.17
11,642.14,784.20
12,669.62,714.32
13,681.13,649.44
14,688.29,576.31
15,682.21,495.57
16,663.91,447.22
17,621.25,412.16
18,574.51,412.31
19,528.18,441.21
20,576.93,437.28
21,620.53,433.49
22,289.77,437.18
23,332.18,406.38
24,382.39,407.44
25,429.09,436.08
26,379.20,431.05
27,333.63,426.90
28,325.35,486.36
29,370.49,457.62
30,419.60,487.28
31,371.50,502.71
32,375.14,478.19
33,629.97,492.20
34,585.22,463.00
35,537.69,492.49
36,585.57,504.58
37,587.17,483.78
38,456.86,486.58
39,448.24,562.17
40,420.22,597.75
41,440.73,615.90
42,486.48,634.49
43,533.50,617.22
44,549.07,598.22
45,518.65,559.41
46,505.25,486.03
47,452.64,610.03
48,521.47,612.34
49,379.94,692.70
50,421.28,659.88
51,465.93,652.09
52,486.01,654.61
53,505.59,652.60
54,546.11,662.25
55,579.88,695.98
56,563.79,744.68
57,528.76,770.43
58,486.67,776.15
59,442.88,768.83
60,401.95,741.20
61,434.46,733.25
62,485.73,743.22
63,530.23,735.68
64,530.20,676.28
65,485.96,678.59
66,436.09,674.97
67,485.77,709.61
68,490.15,595.58
69,347.90,471.64
70,394.66,472.66
71,395.51,495.08
72,348.18,494.45
73,607.79,477.21
74,561.41,477.72
75,561.46,498.85
76,607.71,499.22
