facialLandmark,x,y
1,26.00,81.00
2,25.30,96.70
3,27.00,109.00
4,28.00,114.00
5,33.30,123.30
6,40.30,131.00
7,49.00,137.00
8,60.00,139.00
9,71.00,138.00
10,79.70,132.00
11,87.00,124.00
12,93.00,114.00
13,94.00,109.00
14,95.70,97.30
15,97.00,83.00
16,91.00,76.00
17,85.00,70.00
18,77.00,70.00
19,70.00,74.00
20,77.00,74.00
21,85.00,74.00
22,32.00,75.00
23,38.00,69.00
24,47.00,69.00
25,54.00,74.00
26,46.00,73.00
27,39.00,73.00
28,38.00,82.00
29,44.00,78.00
30,51.00,82.00
31,44.00,84.00
32,45.00,81.00
33,86.00,83.00
34,80.00,79.00
35,73.00,83.00
36,79.00,85.00
37,79.00,82.00
38,56.00,82.30
39,56.00,92.00
40,51.00,98.00
41,53.00,102.00
42,61.00,104.00
43,69.00,103.00
44,72.00,99.00
45,67.00,92.00
46,67.00,82.70
47,56.00,101.00
48,67.00,101.00
49,46.00,113.00
50,52.00,111.00
51,58.00,110.00
52,61.00,111.00
53,64.00,110.00
54,70.00,111.00
55,75.00,114.00
56,71.00,117.00
57,66.00,118.00
58,60.00,119.00
59,55.00,118.00
60,50.00,116.00
61,54.00,114.00
62,60.00,115.00
63,67.00,115.00
64,67.00,113.00
65,61.00,113.00
66,54.00,113.00
67,60.50,114.00
68,61.00,98.00
69,41.00,79.00
70,48.00,79.00
71,48.00,83.00
72,41.00,83.00
73,83.00,80.00
74,76.00,80.00
75,76.00,84.00
76,82.00,84.00
