facialLandmark,x,y
1,38.00,80.00
2,39.70,95.70
3,42.50,109.50
4,44.00,116.00
5,49.30,124.70
6,55.70,132.30
7,63.00,139.00
8,73.00,141.00
9,84.00,138.00
10,92.00,130.70
11,98.30,122.70
12,103.00,114.00
13,104.50,107.00
14,106.70,92.70
15,107.00,78.00
16,103.00,70.00
17,96.00,65.00
18,88.00,66.00
19,81.00,71.00
20,89.00,70.00
21,96.00,69.00
22,42.00,71.00
23,49.00,66.00
24,57.00,67.00
25,65.00,72.00
26,57.00,71.00
27,49.00,70.00
28,48.00,80.00
29,55.00,76.00
30,62.00,80.00
31,55.00,83.00
32,56.00,79.00
33,98.00,79.00
34,92.00,75.00
35,84.00,79.00
36,92.00,82.00
37,92.00,78.00
38,67.00,79.70
39,67.00,92.00
40,62.00,99.00
41,65.00,103.00
42,73.00,105.00
43,80.00,103.00
44,83.00,99.00
45,78.00,92.00
46,78.00,79.30
47,67.00,102.00
48,78.00,102.00
49,59.00,115.00
50,64.00,113.00
51,69.00,112.00
52,73.00,112.00
53,76.00,112.00
54,81.00,112.00
55,87.00,114.00
56,83.00,118.00
57,78.00,120.00
58,73.00,121.00
59,67.00,120.00
60,63.00,118.00
61,66.00,116.00
62,73.00,117.00
63,79.00,116.00
64,79.00,115.00
65,73.00,115.00
66,66.00,115.00
67,73.00,116.00
68,73.00,99.00
69,52.00,77.00
70,59.00,77.00
71,59.00,82.00
72,52.00,82.00
73,95.00,76.00
74,88.00,76.00
75,88.00,81.00
76,95.00,81.00
