facialLandmark,x,y
1,596.24,436.96
2,597.97,493.94
3,608.31,545.08
4,627.97,596.79
5,656.97,638.30
6,683.55,668.69
7,719.75,700.79
8,766.40,713.18
9,809.36,699.54
10,833.86,666.51
11,853.04,631.61
12,871.75,597.78
13,890.95,548.37
14,900.04,497.08
15,900.74,441.58
16,890.21,407.65
17,858.82,387.16
18,825.68,392.81
19,794.83,414.91
20,828.61,410.81
21,858.97,405.24
22,624.32,401.50
23,655.86,381.39
24,692.62,387.04
25,726.19,410.39
26,689.62,404.68
27,656.64,398.62
28,657.58,438.96
29,685.68,427.73
30,716.50,444.77
31,685.77,452.24
32,687.97,437.46
33,861.43,444.72
34,833.20,432.80
35,804.53,448.23
36,834.60,453.42
37,833.47,442.90
38,743.44,445.46
39,737.30,499.59
40,714.57,521.93
41,727.74,542.37
42,766.69,557.97
43,797.92,544.93
44,810.46,527.72
45,786.38,496.59
46,779.57,444.93
47,739.36,542.25
48,791.38,543.29
49,692.07,579.31
50,723.53,573.02
51,752.14,573.05
52,767.38,575.64
53,780.76,572.53
54,806.79,573.87
55,832.22,578.37
56,820.28,612.40
57,797.20,634.70
58,768.58,641.23
59,736.81,635.17
60,709.03,613.70
61,733.46,606.75
62,767.52,615.12
63,799.15,608.00
64,797.95,583.84
65,767.52,587.77
66,734.26,583.42
67,767.74,599.90
68,766.86,532.07
69,671.64,433.20
70,701.07,436.38
71,701.03,448.75
72,671.61,445.90
73,847.30,438.57
74,819.08,440.48
75,819.77,450.92
76,848.02,449.41
