facialLandmark,x,y
1,99.45,85.81
2,101.25,97.27
3,104.94,107.22
4,110.16,118.20
5,115.71,125.37
6,121.03,132.72
7,127.94,138.82
8,137.58,140.75
9,146.06,138.31
10,151.78,132.32
11,155.97,125.56
12,160.49,117.60
13,163.99,104.50
14,165.38,92.83
15,164.91,80.12
16,158.56,71.70
17,151.06,67.86
18,143.85,69.87
19,137.71,75.19
20,144.96,73.38
21,151.24,71.37
22,102.04,76.40
23,107.95,71.51
24,115.38,72.30
25,122.71,76.76
26,114.99,75.90
27,108.22,75.08
28,108.19,85.67
29,114.10,81.92
30,121.48,85.19
31,114.77,88.11
32,115.23,84.32
33,154.77,81.43
34,147.70,79.03
35,141.25,83.31
36,148.36,84.57
37,148.09,81.51
38,127.21,84.39
39,127.43,96.28
40,123.68,103.12
41,126.65,107.12
42,133.98,109.04
43,140.47,105.97
44,142.83,102.05
45,136.95,95.05
46,135.04,83.63
47,128.43,106.39
48,138.55,105.49
49,124.03,117.34
50,128.04,115.32
51,131.99,114.31
52,134.77,114.46
53,137.38,113.89
54,141.84,114.20
55,146.69,115.32
56,144.77,120.53
57,141.13,123.96
58,136.28,125.48
59,131.16,124.74
60,126.97,121.86
61,130.31,119.01
62,135.51,119.89
63,140.25,118.51
64,139.97,116.89
65,135.19,117.72
66,130.37,117.76
67,135.39,118.40
68,133.07,103.38
69,111.12,83.80
70,117.77,83.58
71,118.12,86.66
72,111.50,86.92
73,151.22,80.19
74,144.54,81.13
75,144.77,84.00
76,151.51,83.04
