facialLandmark,x,y
1,43.00,143.00
2,45.70,169.00
3,50.00,190.00
4,53.00,199.00
5,61.70,213.70
6,73.00,226.70
7,87.00,238.00
8,105.00,241.00
9,122.00,238.00
10,135.30,227.30
11,146.70,214.30
12,156.00,199.00
13,158.50,189.00
14,162.30,166.30
15,163.00,140.00
16,151.00,132.00
17,139.00,127.00
18,127.00,130.00
19,115.00,138.00
20,128.00,137.00
21,140.00,134.00
22,54.00,137.00
23,66.00,130.00
24,79.00,131.00
25,92.00,139.00
26,78.00,138.00
27,66.00,137.00
28,66.00,144.00
29,76.00,140.00
30,87.00,145.00
31,76.00,148.00
32,76.00,143.00
33,141.00,141.00
34,131.00,138.00
35,120.00,143.00
36,131.00,146.00
37,130.00,141.00
38,96.00,144.30
39,96.00,164.00
40,86.00,174.00
41,91.00,181.00
42,106.00,186.00
43,120.00,180.00
44,124.00,173.00
45,114.00,163.00
46,114.00,143.70
47,95.00,181.00
48,116.00,180.00
49,81.00,197.00
50,91.00,193.00
51,101.00,192.00
52,106.00,193.00
53,111.00,192.00
54,119.00,193.00
55,129.00,196.00
56,122.00,202.00
57,114.00,205.00
58,105.00,206.00
59,96.00,206.00
60,88.00,203.00
61,94.00,199.00
62,105.00,201.00
63,116.00,199.00
64,116.00,196.00
65,105.00,198.00
66,95.00,197.00
67,105.00,199.50
68,106.00,178.00
69,71.00,141.00
70,81.00,141.00
71,81.00,147.00
72,71.00,146.00
73,136.00,139.00
74,125.00,139.00
75,126.00,145.00
76,136.00,145.00
