facialLandmark,x,y
1,64.00,125.00
2,61.70,147.30
3,61.00,165.00
4,61.00,172.00
5,66.30,188.00
6,75.00,202.00
7,87.00,214.00
8,103.00,220.00
9,118.00,219.00
10,130.00,211.70
11,140.00,201.70
12,148.00,189.00
13,151.00,180.00
14,156.70,160.30
15,159.00,139.00
16,153.00,127.00
17,145.00,121.00
18,135.00,121.00
19,125.00,125.00
20,135.00,126.00
21,144.00,126.00
22,74.00,119.00
23,84.00,114.00
24,95.00,116.00
25,105.00,123.00
26,94.00,121.00
27,84.00,120.00
28,84.00,128.00
29,93.00,125.00
30,101.00,131.00
31,92.00,132.00
32,93.00,128.00
33,144.00,135.00
34,137.00,130.00
35,128.00,134.00
36,136.00,137.00
37,137.00,134.00
38,106.00,132.00
39,106.00,145.00
40,96.00,155.00
41,100.00,161.00
42,112.00,166.00
43,124.00,163.00
44,128.00,159.00
45,121.00,146.00
46,121.00,133.00
47,104.00,159.00
48,121.00,161.00
49,85.00,176.00
50,96.00,174.00
51,106.00,174.00
52,111.00,175.00
53,116.00,175.00
54,124.00,177.00
55,132.00,182.00
56,125.00,189.00
57,117.00,192.00
58,108.00,192.00
59,99.00,189.00
60,91.00,185.00
61,98.00,184.00
62,109.00,187.00
63,119.00,186.00
64,120.00,179.00
65,110.00,179.00
66,99.00,177.00
67,109.50,183.00
68,114.00,155.00
69,89.00,125.00
70,97.00,127.00
71,96.00,132.00
72,88.00,130.00
73,141.00,132.00
74,133.00,131.00
75,132.00,136.00
76,140.00,137.00
