facialLandmark,x,y
1,549.49,1092.01
2,558.88,1243.29
3,582.63,1380.78
4,619.93,1517.46
5,710.19,1673.39
6,828.26,1761.89
7,967.82,1839.55
8,1128.20,1859.47
9,1270.02,1819.53
10,1369.32,1731.73
11,1458.26,1625.24
12,1508.57,1492.92
13,1541.05,1333.12
14,1542.26,1180.16
15,1524.65,1027.38
16,1445.05,931.55
17,1353.83,871.94
18,1256.11,888.69
19,1165.75,958.64
20,1266.20,946.59
21,1357.15,929.74
22,648.49,1002.17
23,740.55,920.73
24,865.09,919.80
25,968.49,977.67
26,860.10,977.85
27,748.82,977.10
28,743.26,1081.04
29,832.32,1024.18
30,932.35,1066.88
31,840.43,1106.62
32,838.77,1061.38
33,1378.39,1033.00
34,1286.75,991.47
35,1196.35,1048.13
36,1293.84,1076.55
37,1289.53,1027.94
38,1012.30,1051.18
39,997.68,1216.45
40,928.59,1283.33
41,980.33,1346.78
42,1101.32,1370.77
43,1206.63,1329.56
44,1241.65,1257.16
45,1158.15,1192.26
46,1120.49,1041.46
47,1011.31,1329.40
48,1182.06,1315.21
49,877.72,1498.19
50,971.74,1456.45
51,1060.17,1443.19
52,1109.11,1444.47
53,1151.87,1434.85
54,1235.40,1432.69
55,1321.89,1456.28
56,1266.33,1519.32
57,1195.52,1554.53
58,1116.88,1567.24
59,1032.85,1570.38
60,947.17,1551.73
61,1003.14,1534.51
62,1114.22,1540.14
63,1213.54,1517.53
64,1209.49,1449.41
65,1109.15,1467.97
66,998.40,1468.18
67,1112.73,1504.78
68,1100.59,1287.91
69,787.71,1051.93
70,882.20,1045.62
71,886.84,1086.41
72,792.06,1093.81
73,1333.91,1011.42
74,1242.33,1019.72
75,1246.08,1063.58
76,1336.20,1056.04
