facialLandmark,x,y
1,677.22,283.54
2,684.29,325.10
3,693.83,360.67
4,707.09,400.09
5,725.39,425.12
6,747.84,446.18
7,773.85,464.91
8,809.86,470.94
9,839.11,464.74
10,859.35,447.70
11,878.39,428.21
12,894.21,407.17
13,906.25,361.62
14,910.91,319.16
15,911.39,273.86
16,893.29,257.60
17,869.98,246.80
18,846.66,250.16
19,821.65,262.47
20,847.93,260.06
21,869.91,257.46
22,695.43,269.13
23,715.72,256.42
24,738.90,256.45
25,766.10,265.28
26,739.38,266.17
27,716.96,266.95
28,720.75,283.96
29,740.43,273.22
30,763.57,283.20
31,741.69,291.17
32,741.87,280.35
33,871.31,275.27
34,850.23,267.90
35,828.38,279.73
36,850.88,282.91
37,850.83,274.35
38,783.61,284.04
39,782.87,331.06
40,768.17,353.81
41,776.97,367.98
42,804.23,378.26
43,830.37,364.97
44,836.16,347.54
45,817.07,327.78
46,809.29,282.41
47,783.20,367.46
48,823.61,365.62
49,757.02,403.28
50,776.95,399.51
51,794.06,397.02
52,805.82,398.93
53,816.90,395.82
54,834.51,395.64
55,854.84,397.17
56,843.67,411.64
57,828.64,420.37
58,808.64,424.16
59,788.07,422.50
60,771.13,415.38
61,783.34,406.90
62,806.66,408.82
63,826.88,405.75
64,826.81,402.96
65,806.37,405.54
66,783.73,405.80
67,806.63,406.36
68,803.47,360.94
69,730.68,278.30
70,751.85,278.32
71,752.50,287.30
72,731.15,287.58
73,860.70,271.55
74,839.37,273.54
75,839.61,281.58
76,861.08,279.18
