facialLandmark,x,y
1,119.00,138.00
2,127.70,172.00
3,139.00,199.50
4,145.00,211.00
5,157.70,223.00
6,171.70,233.30
7,187.00,242.00
8,206.00,242.00
9,227.00,233.00
10,237.00,217.70
11,244.70,202.30
12,250.00,187.00
13,251.00,175.00
14,252.70,148.30
15,249.00,118.00
16,243.00,104.00
17,227.00,97.00
18,212.00,103.00
19,199.00,115.00
20,214.00,110.00
21,228.00,105.00
22,126.00,120.00
23,140.00,109.00
24,156.00,110.00
25,172.00,118.00
26,156.00,117.00
27,141.00,116.00
28,140.00,134.00
29,153.00,125.00
30,168.00,133.00
31,155.00,139.00
32,155.00,131.00
33,234.00,121.00
34,220.00,116.00
35,208.00,127.00
36,223.00,130.00
37,221.00,122.00
38,180.00,131.00
39,180.00,155.00
40,172.00,172.00
41,178.00,178.00
42,195.00,181.00
43,210.00,173.00
44,214.00,165.00
45,201.00,152.00
46,201.00,129.00
47,183.00,175.00
48,205.00,172.00
49,167.00,201.00
50,179.00,196.00
51,190.00,193.00
52,197.00,193.00
53,204.00,191.00
54,215.00,191.00
55,227.00,191.00
56,220.00,201.00
57,211.00,207.00
58,200.00,210.00
59,188.00,211.00
60,177.00,208.00
61,185.00,203.00
62,199.00,202.00
63,212.00,198.00
64,211.00,196.00
65,198.00,199.00
66,185.00,200.00
67,198.50,200.50
68,193.00,168.00
69,146.00,129.00
70,160.00,127.00
71,161.00,136.00
72,148.00,138.00
73,227.00,117.00
74,214.00,120.00
75,216.00,130.00
76,229.00,127.00
