facialLandmark,x,y
1,45.00,77.00
2,45.70,90.70
3,48.50,104.00
4,50.00,110.00
5,54.70,118.00
6,61.00,124.70
7,69.00,130.00
8,80.00,132.00
9,90.00,130.00
10,96.70,124.00
11,102.00,117.00
12,106.00,109.00
13,107.00,103.50
14,108.70,90.00
15,108.00,75.00
16,106.00,68.00
17,100.00,64.00
18,93.00,65.00
19,86.00,69.00
20,94.00,68.00
21,100.00,67.00
22,49.00,71.00
23,55.00,66.00
24,63.00,66.00
25,71.00,70.00
26,63.00,70.00
27,56.00,69.00
28,56.00,77.00
29,62.00,73.00
30,68.00,77.00
31,62.00,79.00
32,61.00,76.00
33,100.00,75.00
34,94.00,72.00
35,88.00,76.00
36,94.00,78.00
37,93.00,74.00
38,75.00,76.70
39,75.00,87.00
40,71.00,94.00
41,74.00,98.00
42,80.00,99.00
43,87.00,98.00
44,89.00,93.00
45,85.00,86.00
46,85.00,76.30
47,76.00,96.00
48,85.00,95.00
49,68.00,110.00
50,73.00,107.00
51,78.00,106.00
52,81.00,106.00
53,83.00,105.00
54,87.00,107.00
55,91.00,110.00
56,88.00,113.00
57,85.00,114.00
58,80.00,115.00
59,76.00,114.00
60,72.00,113.00
61,75.00,110.00
62,80.00,111.00
63,85.00,110.00
64,85.00,109.00
65,80.00,109.00
66,75.00,109.00
67,80.00,110.00
68,81.00,92.00
69,59.00,74.00
70,65.00,74.00
71,65.00,78.00
72,59.00,78.00
73,97.00,73.00
74,91.00,73.00
75,91.00,77.00
76,97.00,77.00
