facialLandmark,x,y
1,37.00,205.00
2,42.70,253.30
3,53.50,293.50
4,59.00,311.00
5,77.70,334.30
6,99.70,354.30
7,125.00,371.00
8,155.00,375.00
9,183.00,367.00
10,199.00,347.70
11,212.70,328.30
12,224.00,309.00
13,228.50,290.00
14,235.00,247.70
15,235.00,200.00
16,226.00,183.00
17,206.00,171.00
18,184.00,175.00
19,164.00,189.00
20,186.00,187.00
21,207.00,183.00
22,59.00,187.00
23,79.00,175.00
24,103.00,177.00
25,125.00,190.00
26,102.00,189.00
27,80.00,187.00
28,76.00,205.00
29,95.00,195.00
30,114.00,206.00
31,95.00,213.00
32,96.00,203.00
33,210.00,201.00
34,192.00,193.00
35,174.00,204.00
36,193.00,210.00
37,194.00,200.00
38,133.00,205.30
39,133.00,245.00
40,119.00,261.00
41,127.00,275.00
42,152.00,282.00
43,172.00,274.00
44,177.00,260.00
45,163.00,242.00
46,163.00,204.70
47,134.00,273.00
48,167.00,272.00
49,110.00,308.00
50,128.00,305.00
51,143.00,303.00
52,153.00,304.00
53,162.00,301.00
54,176.00,302.00
55,190.00,304.00
56,180.00,314.00
57,168.00,321.00
58,153.00,324.00
59,136.00,323.00
60,122.00,318.00
61,133.00,311.00
62,152.00,313.00
63,170.00,310.00
64,170.00,308.00
65,153.00,310.00
66,134.00,310.00
67,152.50,311.50
68,152.00,266.00
69,85.00,198.00
70,104.00,199.00
71,105.00,211.00
72,86.00,211.00
73,201.00,195.00
74,183.00,196.00
75,184.00,208.00
76,202.00,207.00
