facialLandmark,x,y
1,65.00,186.00
2,68.30,223.70
3,75.00,254.50
4,79.00,268.00
5,92.30,288.70
6,109.00,305.30
7,129.00,318.00
8,155.00,322.00
9,181.00,316.00
10,203.00,302.70
11,221.00,286.00
12,235.00,266.00
13,238.00,250.50
14,243.00,216.30
15,242.00,177.00
16,224.00,156.00
17,209.00,145.00
18,190.00,148.00
19,172.00,159.00
20,191.00,156.00
21,208.00,153.00
22,81.00,164.00
23,96.00,154.00
24,113.00,155.00
25,130.00,164.00
26,112.00,163.00
27,96.00,161.00
28,95.00,186.00
29,109.00,178.00
30,126.00,185.00
31,110.00,192.00
32,111.00,184.00
33,209.00,178.00
34,194.00,171.00
35,178.00,181.00
36,195.00,185.00
37,194.00,177.00
38,138.00,183.70
39,138.00,210.00
40,128.00,227.00
41,134.00,238.00
42,151.00,240.00
43,169.00,235.00
44,176.00,225.00
45,163.00,208.00
46,163.00,182.30
47,139.00,232.00
48,163.00,231.00
49,122.00,268.00
50,133.00,262.00
51,144.00,258.00
52,152.00,258.00
53,159.00,257.00
54,172.00,259.00
55,186.00,264.00
56,176.00,273.00
57,166.00,278.00
58,153.00,281.00
59,140.00,280.00
60,130.00,276.00
61,138.00,270.00
62,153.00,271.00
63,167.00,268.00
64,167.00,264.00
65,152.00,265.00
66,138.00,266.00
67,152.50,268.00
68,150.00,223.00
69,102.00,180.00
70,118.00,180.00
71,118.00,190.00
72,102.00,190.00
73,202.00,173.00
74,186.00,174.00
75,186.00,184.00
76,202.00,183.00
