facialLandmark,x,y
1,132.34,227.44
2,134.78,258.75
3,141.67,285.25
4,151.03,313.14
5,163.96,337.39
6,177.42,356.72
7,198.13,372.50
8,226.04,378.53
9,253.11,374.14
10,275.53,361.01
11,294.26,342.20
12,309.86,316.56
13,318.80,282.48
14,321.70,251.26
15,319.81,219.41
16,297.95,198.18
17,278.01,187.39
18,256.47,189.72
19,234.93,201.85
20,257.72,198.87
21,277.43,196.18
22,138.25,209.60
23,153.39,197.58
24,171.41,197.60
25,193.44,206.15
26,171.83,206.12
27,154.34,206.10
28,158.21,227.78
29,173.21,219.24
30,191.50,226.02
31,174.44,232.63
32,176.38,224.66
33,280.49,220.73
34,263.03,214.42
35,245.46,222.70
36,263.23,227.86
37,264.89,219.66
38,206.13,225.16
39,203.97,259.31
40,196.71,275.55
41,203.26,284.81
42,218.27,289.67
43,236.10,283.14
44,242.15,274.79
45,229.87,257.28
46,225.33,223.91
47,205.58,281.87
48,230.53,280.75
49,191.54,315.58
50,201.84,308.51
51,212.17,304.95
52,219.70,305.27
53,227.16,304.28
54,240.06,307.30
55,254.70,313.80
56,246.66,323.08
57,236.24,328.19
58,222.44,330.83
59,209.10,328.87
60,199.06,323.93
61,206.75,317.01
62,221.12,319.79
63,234.81,316.75
64,234.58,312.88
65,220.30,313.17
66,206.79,313.88
67,221.04,315.88
68,216.39,275.16
69,165.66,223.47
70,182.31,222.70
71,183.08,229.42
72,166.31,230.17
73,271.82,217.45
74,254.35,218.51
75,254.31,225.49
76,271.79,224.39
