facialLandmark,x,y
1,806.03,427.59
2,807.53,496.63
3,810.07,556.85
4,817.75,629.12
5,842.35,692.87
6,889.40,732.11
7,942.39,764.57
8,1003.16,779.17
9,1073.30,768.18
10,1127.01,733.70
11,1174.73,697.61
12,1204.21,631.49
13,1211.94,578.99
14,1220.12,525.43
15,1229.93,464.68
16,1189.86,434.55
17,1154.15,408.43
18,1117.17,404.78
19,1073.41,420.13
20,1114.81,429.46
21,1151.11,434.37
22,855.76,389.65
23,896.02,373.87
24,935.67,380.14
25,975.54,404.46
26,932.96,404.11
27,895.33,399.75
28,887.06,432.79
29,921.72,422.30
30,958.82,443.90
31,920.39,450.77
32,923.75,434.82
33,1158.84,463.63
34,1124.32,445.23
35,1083.02,458.65
36,1122.04,472.70
37,1125.26,459.01
38,998.43,451.43
39,988.43,513.03
40,948.34,546.42
41,964.15,571.99
42,1016.87,594.57
43,1065.07,583.27
44,1085.32,562.46
45,1050.42,516.65
46,1045.32,455.14
47,978.20,574.82
48,1054.75,583.54
49,923.55,615.26
50,963.87,598.41
51,1000.25,600.10
52,1016.59,604.13
53,1033.81,602.52
54,1064.55,610.48
55,1091.86,633.43
56,1070.22,653.61
57,1042.66,661.60
58,1010.28,660.12
59,975.50,653.93
60,946.37,639.09
61,976.55,631.28
62,1012.77,637.64
63,1050.20,637.89
64,1051.06,625.92
65,1014.86,624.45
66,977.76,618.23
67,1013.21,631.68
68,1018.60,568.41
69,903.97,427.41
70,939.98,432.84
71,939.84,447.62
72,903.85,442.12
73,1141.58,454.91
74,1103.49,451.77
75,1102.33,466.05
76,1140.14,468.53
