facialLandmark,x,y
1,187.00,114.00
2,193.70,143.00
3,204.50,168.50
4,210.00,180.00
5,221.30,192.00
6,234.00,203.00
7,248.00,213.00
8,266.00,214.00
9,285.00,206.00
10,297.00,190.70
11,306.30,174.70
12,313.00,158.00
13,313.50,147.00
14,313.30,120.70
15,308.00,89.00
16,295.00,79.00
17,281.00,73.00
18,266.00,77.00
19,254.00,88.00
20,269.00,84.00
21,282.00,80.00
22,188.00,98.00
23,198.00,88.00
24,212.00,88.00
25,226.00,94.00
26,212.00,95.00
27,200.00,95.00
28,203.00,112.00
29,212.00,105.00
30,225.00,109.00
31,214.00,115.00
32,214.00,109.00
33,284.00,96.00
34,271.00,94.00
35,261.00,103.00
36,274.00,104.00
37,272.00,98.00
38,236.00,107.00
39,236.00,130.00
40,229.00,145.00
41,235.00,152.00
42,251.00,154.00
43,266.00,145.00
44,269.00,137.00
45,256.00,126.00
46,256.00,105.00
47,239.00,150.00
48,261.00,146.00
49,229.00,173.00
50,239.00,170.00
51,248.00,168.00
52,254.00,168.00
53,260.00,165.00
54,270.00,163.00
55,284.00,162.00
56,277.00,171.00
57,269.00,178.00
58,258.00,181.00
59,247.00,182.00
60,238.00,180.00
61,244.00,175.00
62,256.00,174.00
63,268.00,170.00
64,268.00,168.00
65,256.00,172.00
66,243.00,173.00
67,256.00,173.00
68,248.00,144.00
69,207.00,108.00
70,219.00,106.00
71,220.00,113.00
72,209.00,115.00
73,277.00,94.00
74,266.00,97.00
75,268.00,104.00
76,279.00,101.00
