facialLandmark,x,y
1,173.00,121.00
2,175.30,145.70
3,180.50,165.50
4,183.00,174.00
5,192.30,186.70
6,202.30,197.30
7,213.00,206.00
8,228.00,208.00
9,246.00,204.00
10,258.70,192.70
11,269.00,179.30
12,277.00,164.00
13,278.50,156.50
14,281.30,139.70
15,282.00,118.00
16,272.00,110.00
17,260.00,101.00
18,246.00,102.00
19,234.00,110.00
20,246.00,108.00
21,259.00,107.00
22,180.00,110.00
23,190.00,101.00
24,203.00,101.00
25,215.00,109.00
26,202.00,107.00
27,191.00,107.00
28,190.00,120.00
29,200.00,114.00
30,211.00,120.00
31,200.00,123.00
32,201.00,118.00
33,261.00,119.00
34,251.00,114.00
35,240.00,120.00
36,251.00,123.00
37,251.00,118.00
38,216.00,120.00
39,216.00,137.00
40,207.00,149.00
41,211.00,152.00
42,224.00,157.00
43,237.00,152.00
44,242.00,148.00
45,232.00,137.00
46,232.00,120.00
47,215.00,152.00
48,233.00,151.00
49,198.00,167.00
50,209.00,163.00
51,219.00,162.00
52,224.00,163.00
53,229.00,162.00
54,240.00,162.00
55,253.00,165.00
56,246.00,175.00
57,237.00,181.00
58,226.00,183.00
59,215.00,182.00
60,205.00,177.00
61,213.00,175.00
62,225.00,177.00
63,238.00,174.00
64,237.00,165.00
65,225.00,167.00
66,213.00,166.00
67,225.00,172.00
68,223.00,148.00
69,194.00,116.00
70,205.00,115.00
71,205.00,122.00
72,195.00,122.00
73,256.00,115.00
74,245.00,116.00
75,246.00,123.00
76,256.00,122.00
