facialLandmark,x,y
1,41.00,113.00
2,42.70,134.30
3,46.50,153.50
4,49.00,162.00
5,55.00,170.70
6,62.00,179.30
7,70.00,188.00
8,83.00,192.00
9,97.00,190.00
10,107.00,182.00
11,116.00,173.00
12,124.00,163.00
13,127.50,154.50
14,133.00,136.00
15,136.00,116.00
16,125.00,109.00
17,115.00,105.00
18,103.00,108.00
19,94.00,114.00
20,104.00,113.00
21,115.00,110.00
22,48.00,107.00
23,58.00,103.00
24,69.00,106.00
25,79.00,113.00
26,68.00,111.00
27,58.00,108.00
28,56.00,114.00
29,65.00,111.00
30,74.00,116.00
31,65.00,119.00
32,66.00,114.00
33,117.00,116.00
34,109.00,112.00
35,99.00,117.00
36,109.00,121.00
37,108.00,116.00
38,79.00,116.30
39,79.00,135.00
40,72.00,144.00
41,75.00,148.00
42,85.00,153.00
43,96.00,149.00
44,100.00,145.00
45,93.00,135.00
46,93.00,116.70
47,78.00,148.00
48,93.00,149.00
49,65.00,159.00
50,74.00,159.00
51,81.00,159.00
52,85.00,160.00
53,89.00,160.00
54,96.00,160.00
55,105.00,161.00
56,99.00,167.00
57,92.00,170.00
58,84.00,170.00
59,76.00,169.00
60,70.00,165.00
61,76.00,164.00
62,84.00,165.00
63,94.00,164.00
64,94.00,162.00
65,85.00,163.00
66,76.00,161.00
67,84.50,164.00
68,85.00,147.00
69,61.00,112.00
70,70.00,112.00
71,70.00,118.00
72,61.00,117.00
73,113.00,114.00
74,104.00,114.00
75,104.00,120.00
76,113.00,119.00
