facialLandmark,x,y
1,34.00,103.00
2,35.00,123.70
3,39.50,141.00
4,42.00,149.00
5,48.00,161.00
6,55.30,171.70
7,64.00,181.00
8,77.00,184.00
9,91.00,181.00
10,100.30,171.00
11,108.30,161.00
12,115.00,151.00
13,116.50,141.00
14,118.70,120.30
15,116.00,100.00
16,108.00,92.00
17,98.00,86.00
18,88.00,88.00
19,79.00,95.00
20,89.00,94.00
21,98.00,92.00
22,35.00,96.00
23,43.00,90.00
24,53.00,91.00
25,62.00,96.00
26,52.00,96.00
27,43.00,95.00
28,42.00,104.00
29,50.00,99.00
30,58.00,104.00
31,50.00,108.00
32,51.00,103.00
33,102.00,100.00
34,94.00,97.00
35,86.00,102.00
36,95.00,105.00
37,96.00,100.00
38,64.00,103.30
39,64.00,121.00
40,59.00,129.00
41,62.00,136.00
42,72.00,138.00
43,82.00,134.00
44,85.00,127.00
45,77.00,120.00
46,77.00,102.70
47,64.00,134.00
48,79.00,133.00
49,60.00,152.00
50,64.00,148.00
51,69.00,146.00
52,73.00,147.00
53,77.00,146.00
54,84.00,147.00
55,91.00,149.00
56,86.00,154.00
57,81.00,157.00
58,75.00,159.00
59,68.00,159.00
60,63.00,156.00
61,67.00,152.00
62,74.00,153.00
63,82.00,151.00
64,81.00,151.00
65,74.00,151.00
66,67.00,152.00
67,74.00,152.00
68,70.00,130.00
69,46.00,101.00
70,54.00,101.00
71,54.00,107.00
72,46.00,107.00
73,98.00,98.00
74,90.00,98.00
75,90.00,104.00
76,98.00,104.00
