facialLandmark,x,y
1,245.26,357.49
2,248.07,406.27
3,254.36,450.75
4,269.51,496.36
5,297.98,541.39
6,330.34,575.31
7,371.69,603.44
8,420.53,611.56
9,463.99,599.43
10,493.58,569.21
11,516.49,536.79
12,537.49,497.78
13,549.35,445.74
14,552.10,396.62
15,548.99,344.34
16,521.28,320.69
17,492.98,304.22
18,461.88,309.74
19,434.31,330.62
20,464.87,327.74
21,493.83,323.49
22,289.35,331.93
23,317.23,314.66
24,348.09,316.81
25,379.55,333.83
26,347.64,334.55
27,318.40,333.11
28,309.90,357.20
29,334.05,345.30
30,362.23,353.37
31,336.63,363.31
32,334.65,352.87
33,500.88,346.15
34,475.19,337.30
35,449.14,349.01
36,475.81,354.31
37,475.19,345.24
38,393.66,355.23
39,391.00,402.67
40,369.43,426.62
41,380.65,443.61
42,418.44,456.80
43,449.50,440.16
44,458.52,424.59
45,435.36,398.15
46,424.27,353.34
47,390.69,444.00
48,443.35,441.54
49,349.80,490.41
50,378.55,480.62
51,404.61,478.66
52,419.12,480.26
53,432.40,477.16
54,455.83,476.94
55,478.78,483.24
56,465.55,507.78
57,444.41,522.52
58,419.53,527.09
59,391.35,525.54
60,365.98,513.33
61,387.57,505.37
62,419.39,509.90
63,449.01,502.22
64,447.92,484.52
65,418.84,489.74
66,387.25,488.03
67,418.98,498.99
68,418.78,438.15
69,321.70,351.06
70,347.98,349.73
71,349.49,358.45
72,323.26,360.43
73,488.21,341.52
74,462.41,343.12
75,462.62,351.69
76,488.25,350.48
