facialLandmark,x,y
1,657.68,883.97
2,654.68,1021.52
3,667.25,1147.24
4,692.43,1264.10
5,741.68,1409.15
6,827.04,1516.46
7,953.93,1567.29
8,1092.63,1582.20
9,1229.28,1562.56
10,1351.96,1504.55
11,1428.58,1405.83
12,1477.45,1253.11
13,1498.02,1131.13
14,1511.80,1006.78
15,1507.81,857.99
16,1416.56,801.39
17,1334.08,748.89
18,1239.08,759.43
19,1162.50,817.76
20,1247.91,804.67
21,1334.28,793.38
22,774.83,813.92
23,857.16,764.59
24,942.91,769.78
25,1022.20,822.90
26,937.51,814.67
27,857.88,807.29
28,829.28,876.57
29,902.51,827.67
30,980.85,872.94
31,904.65,900.19
32,904.96,861.74
33,1358.94,860.51
34,1284.53,813.04
35,1203.64,863.77
36,1283.32,896.04
37,1280.95,848.28
38,1051.00,867.93
39,1033.81,983.01
40,976.74,1071.64
41,1004.87,1114.46
42,1092.84,1136.08
43,1176.86,1106.77
44,1208.61,1060.80
45,1151.75,980.20
46,1132.10,867.19
47,1030.60,1094.30
48,1154.97,1091.59
49,925.28,1267.63
50,988.60,1222.97
51,1054.07,1205.28
52,1092.94,1207.11
53,1131.70,1202.49
54,1201.82,1210.51
55,1269.20,1249.35
56,1222.01,1294.08
57,1161.85,1316.15
58,1095.37,1322.34
59,1030.79,1323.93
60,970.50,1308.47
61,1015.12,1283.41
62,1095.28,1287.94
63,1176.75,1275.02
64,1175.94,1225.59
65,1093.68,1233.44
66,1012.95,1235.08
67,1095.12,1260.15
68,1091.87,1061.42
69,865.18,851.40
70,940.85,850.56
71,942.35,886.86
72,867.14,888.83
73,1322.60,836.16
74,1245.19,838.15
75,1243.93,880.20
76,1321.00,878.53
