facialLandmark,x,y
1,66.95,180.74
2,67.12,208.58
3,71.24,233.19
4,78.45,259.76
5,87.96,284.05
6,98.79,303.89
7,115.62,321.86
8,141.00,328.78
9,168.34,324.35
10,191.06,308.61
11,210.26,290.54
12,225.34,264.48
13,233.18,234.47
14,235.75,209.20
15,235.63,182.64
16,208.71,170.48
17,192.70,159.54
18,174.09,160.24
19,155.96,169.68
20,174.30,171.30
21,191.56,171.41
22,80.58,172.25
23,94.56,160.27
24,112.86,161.29
25,129.20,172.00
26,112.19,172.63
27,95.45,172.48
28,92.06,181.79
29,104.23,176.18
30,117.93,181.19
31,104.53,184.81
32,104.19,180.22
33,196.71,181.86
34,183.49,176.44
35,169.65,181.12
36,182.72,184.24
37,183.37,180.05
38,132.97,180.50
39,128.43,204.47
40,114.95,222.96
41,120.18,230.11
42,139.22,236.38
43,160.69,231.06
44,167.07,224.30
45,152.70,205.43
46,150.63,180.88
47,124.95,228.61
48,153.63,228.98
49,114.77,260.99
50,123.44,255.64
51,132.40,253.65
52,139.44,254.97
53,147.23,253.87
54,158.65,256.33
55,171.97,262.31
56,163.32,269.92
57,152.27,273.62
58,140.04,274.29
59,128.89,272.66
60,120.89,268.22
61,127.23,262.12
62,139.87,265.36
63,154.02,263.11
64,154.06,260.57
65,139.53,261.26
66,127.19,259.98
67,139.91,263.09
68,137.91,223.44
69,98.09,179.01
70,111.05,178.82
71,111.30,183.21
72,98.43,183.43
73,190.26,179.15
74,176.71,178.86
75,176.32,182.73
76,189.58,183.28
