facialLandmark,x,y
1,526.77,633.78
2,518.09,736.82
3,526.39,834.05
4,552.72,932.61
5,600.22,1010.40
6,651.60,1066.54
7,716.48,1120.97
8,798.49,1148.05
9,884.99,1130.39
10,953.76,1082.56
11,1000.01,1016.93
12,1040.67,944.24
13,1075.82,858.12
14,1092.60,764.77
15,1094.97,662.69
16,1055.75,600.84
17,995.93,562.02
18,930.22,563.13
19,871.00,596.74
20,933.91,590.56
21,994.60,586.49
22,575.22,563.83
23,627.48,534.63
24,685.50,540.51
25,746.62,580.12
26,681.73,566.28
27,628.14,556.12
28,618.63,637.82
29,674.23,611.12
30,732.12,650.85
31,671.51,664.70
32,677.73,634.86
33,1006.30,663.96
34,950.31,631.26
35,891.27,663.51
36,950.47,676.81
37,950.10,655.62
38,783.29,656.66
39,769.84,753.06
40,726.82,799.96
41,743.45,825.66
42,808.56,860.35
43,869.11,834.90
44,890.70,817.08
45,850.73,755.57
46,843.38,659.00
47,762.21,831.29
48,854.09,837.31
49,680.79,905.50
50,731.19,881.72
51,781.50,881.90
52,807.46,885.36
53,834.10,883.97
54,882.20,891.79
55,922.85,916.87
56,900.21,975.36
57,858.32,1009.95
58,803.45,1019.61
59,747.80,1006.30
60,702.57,967.86
61,748.16,957.94
62,804.85,975.00
63,864.80,964.37
64,865.12,909.77
65,807.40,911.46
66,751.49,903.23
67,806.07,941.34
68,809.27,821.42
69,646.17,624.07
70,702.43,631.11
71,701.52,657.79
72,644.70,651.73
73,978.10,647.07
74,920.97,647.11
75,920.61,670.38
76,978.11,670.41
